Generation,Mean,Std,Min,Max
1,0.5058,0.0,0.5058,0.5058
2,0.4645,0.0412,0.3532,0.5058
3,0.4455,0.0513,0.2874,0.5058
4,0.4359,0.0536,0.2674,0.5058
5,0.4294,0.0552,0.2548,0.5058
6,0.4223,0.0559,0.2569,0.5058
7,0.4165,0.0569,0.2264,0.5058
8,0.4121,0.0578,0.2473,0.5058
9,0.4079,0.0579,0.2473,0.5058
10,0.404,0.0586,0.25,0.5058
11,0.4004,0.0585,0.2264,0.5058
12,0.398,0.0587,0.2264,0.5058
13,0.3959,0.0581,0.2244,0.5058
14,0.3946,0.0582,0.2404,0.5058
15,0.3927,0.0584,0.2228,0.5058
16,0.3914,0.0583,0.2099,0.5058
17,0.3905,0.0579,0.2264,0.5058
18,0.3903,0.0585,0.2273,0.5058
19,0.3894,0.0585,0.234,0.5058
20,0.3892,0.0582,0.234,0.5058
21,0.3889,0.0585,0.2404,0.5058
22,0.389,0.0582,0.2321,0.5058
23,0.3886,0.0577,0.2244,0.5058
24,0.3877,0.0578,0.2404,0.5058
25,0.3871,0.0577,0.2423,0.5058
26,0.3868,0.0581,0.2195,0.5058
27,0.3872,0.058,0.2212,0.5058
28,0.3866,0.0579,0.2291,0.5058
29,0.3864,0.0581,0.234,0.5058
30,0.3858,0.0578,0.2264,0.5058
31,0.385,0.0581,0.2377,0.5058
32,0.3854,0.0581,0.2291,0.5058
33,0.386,0.0588,0.2131,0.5058
34,0.3857,0.058,0.234,0.5058
35,0.3858,0.0575,0.2264,0.5058
36,0.3852,0.0576,0.2073,0.5058
37,0.3843,0.0581,0.2212,0.5058
38,0.3843,0.0579,0.2131,0.5058
39,0.3845,0.0582,0.2244,0.5058
40,0.3853,0.0584,0.2019,0.5058
41,0.386,0.059,0.2195,0.5058
42,0.3863,0.0583,0.234,0.5058
43,0.3864,0.0585,0.2264,0.5058
44,0.3864,0.0582,0.236,0.5058
45,0.387,0.0584,0.2195,0.5058
46,0.3872,0.0583,0.2264,0.5058
47,0.387,0.0581,0.234,0.5058
48,0.3861,0.0579,0.2291,0.5058
49,0.385,0.0582,0.2264,0.5058
50,0.3854,0.0586,0.2115,0.5058
51,0.3855,0.0589,0.2168,0.5058
52,0.3857,0.0586,0.2264,0.5058
53,0.3861,0.0583,0.2212,0.5058
54,0.3858,0.0581,0.2404,0.5058
55,0.3855,0.058,0.2404,0.5058
56,0.3855,0.0583,0.2404,0.5058
57,0.3852,0.0583,0.2177,0.5058
58,0.3851,0.0583,0.234,0.5058
59,0.3852,0.0583,0.2115,0.5058
60,0.3851,0.0582,0.228,0.5058
61,0.3846,0.0583,0.2264,0.5058
62,0.385,0.0587,0.2316,0.5058
63,0.385,0.0585,0.2131,0.5058
64,0.3853,0.0586,0.2073,0.5058
65,0.3852,0.0586,0.2099,0.5058
66,0.3852,0.0585,0.2291,0.5058
67,0.3856,0.0588,0.2264,0.5058
68,0.3857,0.0586,0.2168,0.5058
