Generation,Mean,Std,Min,Max
148,0.3806,0.0582,0.2264,0.5058
149,0.3808,0.0581,0.2195,0.5058
150,0.3812,0.0586,0.2177,0.5058
151,0.3811,0.0587,0.2212,0.5058
152,0.3823,0.0585,0.2099,0.5058
153,0.3821,0.0586,0.2291,0.5058
154,0.3821,0.0582,0.2264,0.5058
155,0.3815,0.0582,0.2115,0.5058
156,0.381,0.0582,0.2264,0.5058
157,0.3805,0.0583,0.2131,0.5058
158,0.3809,0.0584,0.2003,0.5058
159,0.3812,0.058,0.1923,0.5058
160,0.381,0.0582,0.2073,0.5058
161,0.3819,0.0583,0.2212,0.5058
162,0.3819,0.0584,0.2115,0.5058
163,0.382,0.0579,0.2369,0.5058
164,0.3809,0.0576,0.228,0.5058
165,0.3805,0.058,0.2131,0.5058
166,0.3807,0.0582,0.2195,0.5058
167,0.3809,0.0579,0.2155,0.5058
168,0.3802,0.0576,0.1923,0.5058
169,0.3798,0.0574,0.2316,0.5058
170,0.3793,0.0573,0.228,0.5058
171,0.3797,0.058,0.2291,0.5058
172,0.38,0.0579,0.2264,0.5058
173,0.38,0.0577,0.234,0.5058
174,0.3804,0.0579,0.2264,0.5058
175,0.3803,0.0571,0.2195,0.5058
176,0.3801,0.0582,0.2184,0.5058
177,0.3805,0.0584,0.2212,0.5058
178,0.3808,0.058,0.2228,0.5058
179,0.3808,0.0582,0.2131,0.5058
180,0.3804,0.0583,0.2168,0.5058
181,0.3812,0.0584,0.2177,0.5058
182,0.3809,0.0583,0.2264,0.5058
183,0.3808,0.0582,0.2168,0.5058
184,0.3805,0.0579,0.1939,0.5058
185,0.3807,0.0581,0.1923,0.5058
186,0.3805,0.0579,0.2115,0.5058
187,0.3812,0.0584,0.2035,0.5058
188,0.3824,0.0582,0.2244,0.5058
189,0.3824,0.0581,0.2316,0.5058
190,0.3816,0.058,0.2228,0.5058
191,0.3808,0.0576,0.2212,0.5058
192,0.3803,0.0576,0.2177,0.5058
193,0.3801,0.0579,0.2155,0.5058
194,0.3802,0.058,0.2195,0.5058
195,0.3802,0.0584,0.2264,0.5058
196,0.3805,0.0584,0.2269,0.5058
197,0.3807,0.058,0.1923,0.5058
198,0.3808,0.0581,0.2177,0.5058
199,0.3813,0.0582,0.2131,0.5058
200,0.381,0.0578,0.1969,0.5058
201,0.3801,0.0576,0.2404,0.5058
202,0.38,0.058,0.2131,0.5058
203,0.3805,0.0578,0.2003,0.5058
204,0.3802,0.0578,0.2212,0.5058
205,0.3806,0.0578,0.2212,0.5058
206,0.3807,0.0579,0.2273,0.5058
207,0.3802,0.058,0.2244,0.5058
208,0.3804,0.0577,0.2244,0.5058
209,0.3803,0.0579,0.2228,0.5058
210,0.3802,0.0578,0.2177,0.5058
211,0.3803,0.0573,0.2131,0.5058
212,0.3806,0.0575,0.2404,0.5058
213,0.3799,0.0574,0.2168,0.5058
214,0.3791,0.0578,0.228,0.5058
215,0.3796,0.0575,0.1939,0.5058
216,0.3798,0.0575,0.2195,0.5058
217,0.3798,0.0577,0.2264,0.5058
218,0.3797,0.058,0.2195,0.5058
219,0.3802,0.0585,0.2099,0.5058
220,0.3804,0.0587,0.2005,0.5058
221,0.3805,0.0583,0.2177,0.5058
222,0.3805,0.0579,0.2019,0.5058
223,0.381,0.0581,0.2073,0.5058
224,0.3808,0.0581,0.2212,0.5058
225,0.3808,0.0581,0.234,0.5058
226,0.3807,0.058,0.2131,0.5058
227,0.3812,0.0583,0.2228,0.5058
228,0.3815,0.0585,0.228,0.5058
229,0.3811,0.0578,0.2244,0.5058
230,0.3806,0.0578,0.228,0.5058
231,0.3805,0.0578,0.2102,0.5058
232,0.3802,0.0584,0.2212,0.5058
233,0.3809,0.0583,0.228,0.5058
234,0.3808,0.058,0.2264,0.5058
235,0.3805,0.0579,0.2177,0.5058
236,0.3806,0.0581,0.2291,0.5058
237,0.3799,0.0579,0.2273,0.5058
238,0.3798,0.0577,0.2195,0.5058
239,0.3801,0.0579,0.2115,0.5058
240,0.3803,0.0578,0.2195,0.5058
241,0.3804,0.0583,0.2035,0.5058
242,0.3801,0.0583,0.2131,0.5058
243,0.3803,0.0583,0.2195,0.5058
244,0.3798,0.0583,0.2115,0.5058
245,0.3796,0.0584,0.2073,0.5058
246,0.38,0.0581,0.2147,0.5058
247,0.3798,0.0583,0.2003,0.5058
248,0.3802,0.058,0.2244,0.5058
249,0.3801,0.0574,0.2195,0.5058
250,0.3794,0.0576,0.2273,0.5058
251,0.3791,0.0579,0.2177,0.5058
252,0.3798,0.0579,0.2195,0.5058
253,0.3794,0.0577,0.228,0.5058
254,0.3792,0.0579,0.2273,0.5058
255,0.3789,0.0579,0.2273,0.5058
256,0.3796,0.0579,0.2131,0.5058
257,0.3792,0.0582,0.1939,0.5058
258,0.3799,0.0581,0.2291,0.5058
