Generation,Mean,Std,Min,Max
1,0.5058,0.0,0.5058,0.5058
2,0.052,0.0299,0.0095,0.5058
3,0.052,0.0299,0.0049,0.5058
4,0.052,0.0299,0.0047,0.5058
5,0.0518,0.0299,0.0095,0.5058
6,0.0519,0.0299,0.0049,0.5058
7,0.0519,0.0299,0.0047,0.5058
8,0.0521,0.0299,0.0094,0.5058
9,0.052,0.0298,0.0047,0.5058
10,0.052,0.0298,0.0,0.5058
11,0.052,0.0299,0.0094,0.5058
12,0.0519,0.0299,0.0,0.5058
13,0.0521,0.0299,0.0093,0.5058
14,0.0519,0.0299,0.0093,0.5058
15,0.052,0.0298,0.0093,0.5058
16,0.0521,0.0299,0.0093,0.5058
17,0.0519,0.0298,0.0048,0.5058
18,0.052,0.0298,0.0093,0.5058
19,0.0519,0.0299,0.0093,0.5058
20,0.052,0.0298,0.0139,0.5058
21,0.052,0.0298,0.0047,0.5058
22,0.0519,0.0299,0.0093,0.5058
23,0.052,0.0298,0.0093,0.5058
24,0.0519,0.0299,0.0093,0.5058
25,0.0519,0.0299,0.0048,0.5058
26,0.052,0.0298,0.0092,0.5058
27,0.0521,0.0298,0.0093,0.5058
28,0.052,0.0299,0.0139,0.5058
29,0.0518,0.0299,0.0,0.5058
30,0.052,0.0299,0.0095,0.5058
31,0.052,0.0299,0.0093,0.5058
32,0.052,0.0299,-0.0099,0.5058
33,0.0521,0.0298,0.0138,0.5058
34,0.0519,0.0299,0.0136,0.5058
35,0.0519,0.0299,0.0094,0.5058
36,0.0519,0.0299,0.0047,0.5058
37,0.052,0.0299,0.0,0.5058
38,0.0521,0.0298,0.0,0.5058
39,0.052,0.0298,0.0139,0.5058
40,0.0519,0.0299,0.0094,0.5058
41,0.0519,0.0298,0.0092,0.5058
42,0.0519,0.0299,0.0094,0.5058
43,0.052,0.0299,0.0092,0.5058
44,0.052,0.0298,0.0138,0.5058
45,0.0519,0.0298,0.0139,0.5058
46,0.052,0.0299,0.0093,0.5058
47,0.052,0.0298,0.0094,0.5058
48,0.052,0.0299,0.0047,0.5058
49,0.052,0.0298,0.0092,0.5058
50,0.0519,0.0299,0.0048,0.5058
51,0.0518,0.0299,0.0049,0.5058
52,0.0519,0.0299,0.0091,0.5058
53,0.0521,0.0298,0.0093,0.5058
54,0.052,0.0298,0.0047,0.5058
55,0.052,0.0298,0.0048,0.5058
56,0.0519,0.0298,0.0094,0.5058
57,0.0519,0.0299,0.0049,0.5058
58,0.052,0.0299,0.0,0.5058
59,0.0519,0.0299,0.0047,0.5058
60,0.0519,0.0299,0.0046,0.5058
61,0.052,0.0299,0.0047,0.5058
62,0.052,0.0299,0.0048,0.5058
63,0.0518,0.0299,0.0093,0.5058
64,0.052,0.0299,0.0047,0.5058
65,0.052,0.0299,0.0,0.5058
66,0.052,0.0298,0.0092,0.5058
67,0.0519,0.0298,0.0138,0.5058
68,0.0519,0.0299,0.0094,0.5058
69,0.052,0.0299,0.0,0.5058
70,0.052,0.0298,0.0093,0.5058
71,0.0521,0.0298,0.0092,0.5058
72,0.052,0.0299,0.0138,0.5058
73,0.052,0.0298,0.0138,0.5058
74,0.0519,0.0299,0.0093,0.5058
75,0.052,0.0299,0.0096,0.5058
76,0.0519,0.0298,0.0093,0.5058
77,0.052,0.0298,0.0,0.5058
78,0.0519,0.0299,0.0093,0.5058
79,0.052,0.0299,-0.0048,0.5058
80,0.0519,0.0299,0.0049,0.5058
81,0.052,0.0299,0.0092,0.5058
82,0.0519,0.0298,0.0047,0.5058
83,0.052,0.0299,0.0,0.5058
84,0.052,0.0298,0.0,0.5058
85,0.0519,0.0299,0.0094,0.5058
86,0.0519,0.0299,0.0046,0.5058
87,0.0519,0.0299,0.0092,0.5058
88,0.052,0.0298,0.0093,0.5058
89,0.052,0.0298,0.0,0.5058
90,0.0519,0.0299,0.0093,0.5058
91,0.052,0.0299,0.014,0.5058
92,0.0519,0.0299,0.0093,0.5058
93,0.052,0.0298,0.0093,0.5058
94,0.0521,0.0298,0.0139,0.5058
95,0.0519,0.0299,0.0091,0.5058
96,0.052,0.0299,0.0093,0.5058
97,0.0519,0.0298,-0.0097,0.5058
98,0.052,0.0299,0.0093,0.5058
99,0.052,0.0298,0.0048,0.5058
100,0.052,0.0298,0.0093,0.5058
101,0.052,0.0298,0.0047,0.5058
102,0.052,0.0299,0.0093,0.5058
103,0.0519,0.0299,0.0094,0.5058
104,0.052,0.0298,0.0094,0.5058
105,0.052,0.0298,0.0047,0.5058
106,0.052,0.0298,0.0047,0.5058
107,0.0519,0.0298,0.0092,0.5058
108,0.052,0.0298,0.0093,0.5058
109,0.052,0.0299,0.0094,0.5058
110,0.052,0.0299,0.0139,0.5058
111,0.0519,0.0299,0.0,0.5058
112,0.0518,0.0299,0.0094,0.5058
113,0.052,0.0298,0.0,0.5058
114,0.0519,0.0299,0.0092,0.5058
115,0.052,0.0299,0.0093,0.5058
116,0.052,0.0298,0.0047,0.5058
117,0.0519,0.0299,0.0094,0.5058
118,0.052,0.0299,-0.0049,0.5058
119,0.0519,0.0299,0.0,0.5058
120,0.0519,0.0299,0.0093,0.5058
121,0.0519,0.0299,0.0047,0.5058
122,0.052,0.0299,0.0,0.5058
123,0.052,0.0299,0.0094,0.5058
124,0.0519,0.0299,0.0093,0.5058
125,0.052,0.0299,0.0,0.5058
126,0.052,0.0299,-0.0048,0.5058
127,0.0521,0.0298,0.0093,0.5058
128,0.0521,0.0298,0.0096,0.5058
129,0.0519,0.0299,0.0093,0.5058
130,0.0521,0.0298,0.0098,0.5058
131,0.0521,0.0298,0.0093,0.5058
132,0.0519,0.0298,0.0047,0.5058
133,0.052,0.0298,0.0094,0.5058
134,0.0519,0.0298,0.0046,0.5058
135,0.052,0.0298,0.0139,0.5058
136,0.052,0.0298,0.0093,0.5058
137,0.0519,0.0299,0.0094,0.5058
138,0.052,0.0298,0.0,0.5058
139,0.0519,0.0299,0.0048,0.5058
140,0.052,0.0299,0.014,0.5058
141,0.052,0.0298,0.0093,0.5058
142,0.0519,0.0299,0.0,0.5058
143,0.052,0.0298,0.0093,0.5058
144,0.052,0.0298,0.0093,0.5058
145,0.052,0.0299,0.0095,0.5058
146,0.052,0.0299,0.0095,0.5058
147,0.0519,0.0299,0.0047,0.5058
148,0.0519,0.0298,0.0048,0.5058
149,0.0519,0.0299,0.0093,0.5058
150,0.052,0.0299,0.0049,0.5058
151,0.0519,0.0299,0.0093,0.5058
152,0.052,0.0299,0.0094,0.5058
153,0.052,0.0298,0.0093,0.5058
154,0.052,0.0298,0.0,0.5058
155,0.0519,0.0298,0.0,0.5058
156,0.052,0.0298,0.0094,0.5058
157,0.052,0.0298,0.0095,0.5058
158,0.052,0.0298,0.0048,0.5058
159,0.052,0.0298,0.0092,0.5058
160,0.0519,0.0299,0.0047,0.5058
161,0.0521,0.0298,0.0047,0.5058
162,0.052,0.0298,0.0093,0.5058
163,0.052,0.0299,0.0049,0.5058
164,0.0521,0.0298,0.0094,0.5058
165,0.0519,0.0299,0.0139,0.5058
166,0.0521,0.0299,0.0,0.5058
167,0.0519,0.0298,0.0094,0.5058
168,0.052,0.0298,0.0092,0.5058
169,0.0521,0.0298,-0.005,0.5058
170,0.0519,0.0299,0.0093,0.5058
171,0.052,0.0299,0.0138,0.5058
172,0.0519,0.0299,0.0,0.5058
173,0.0521,0.0298,0.0093,0.5058
174,0.052,0.0298,0.0095,0.5058
175,0.052,0.0298,0.0048,0.5058
176,0.052,0.0299,0.0093,0.5058
177,0.052,0.0298,0.0138,0.5058
178,0.0519,0.0298,0.0139,0.5058
179,0.0519,0.0299,0.0093,0.5058
180,0.0519,0.0299,0.0095,0.5058
181,0.052,0.0298,0.0047,0.5058
182,0.052,0.0298,-0.0047,0.5058
183,0.0519,0.0298,0.0093,0.5058
184,0.0518,0.0299,0.0093,0.5058
185,0.052,0.0298,0.0,0.5058
186,0.052,0.0298,0.0139,0.5058
187,0.052,0.0298,0.0,0.5058
188,0.052,0.0299,0.0047,0.5058
189,0.0519,0.0299,0.0047,0.5058
190,0.052,0.0299,0.0095,0.5058
191,0.0521,0.0298,0.0093,0.5058
192,0.052,0.0299,0.0138,0.5058
193,0.052,0.0298,0.0047,0.5058
194,0.052,0.0299,0.0095,0.5058
195,0.0519,0.0299,0.0092,0.5058
196,0.052,0.0299,0.0095,0.5058
197,0.0519,0.0299,0.0047,0.5058
198,0.052,0.0299,0.0136,0.5058
199,0.0519,0.0299,0.0092,0.5058
200,0.052,0.0298,0.0094,0.5058
201,0.052,0.0299,0.0,0.5058
202,0.052,0.0298,0.0047,0.5058
203,0.052,0.0298,0.0094,0.5058
