Generation,Best,Mean,Std,Min,Max
1,0.1882,0.1349,0.0138,0.0709,0.1882
2,0.1899,0.1407,0.0112,0.0953,0.1899
3,0.1899,0.1444,0.0106,0.088,0.1899
4,0.1899,0.1474,0.0103,0.0913,0.1899
5,0.1931,0.1499,0.0101,0.0986,0.1931
6,0.1947,0.1521,0.01,0.0994,0.1947
7,0.1947,0.1542,0.01,0.1027,0.1947
8,0.1988,0.1563,0.0099,0.0945,0.1988
9,0.2029,0.1581,0.01,0.1019,0.2029
10,0.2029,0.1601,0.0099,0.1059,0.2029
11,0.2029,0.1619,0.01,0.11,0.2029
12,0.2135,0.1637,0.0101,0.1108,0.2135
13,0.2135,0.1657,0.0101,0.1141,0.2135
14,0.2135,0.1677,0.01,0.1165,0.2135
15,0.2167,0.1695,0.0103,0.11,0.2167
16,0.2167,0.1714,0.0103,0.1206,0.2167
17,0.2167,0.1733,0.0103,0.1239,0.2167
18,0.2192,0.175,0.0104,0.1287,0.2192
19,0.2233,0.1767,0.0105,0.1092,0.2233
20,0.2265,0.1785,0.0107,0.0978,0.2265
21,0.2265,0.1801,0.0107,0.1239,0.2265
22,0.2281,0.1819,0.0108,0.1312,0.2281
23,0.2281,0.1836,0.0109,0.1239,0.2281
24,0.2281,0.1852,0.011,0.1328,0.2281
25,0.2306,0.187,0.011,0.1263,0.2306
26,0.2314,0.1886,0.0111,0.1295,0.2314
27,0.2314,0.1903,0.0112,0.1425,0.2314
28,0.2355,0.1919,0.0113,0.1377,0.2355
29,0.2355,0.1934,0.0114,0.1353,0.2355
30,0.2428,0.1949,0.0114,0.132,0.2428
31,0.2428,0.1964,0.0113,0.1467,0.2428
32,0.2428,0.1979,0.0114,0.1377,0.2428
33,0.2436,0.1993,0.0114,0.1467,0.2436
34,0.2436,0.2007,0.0113,0.1458,0.2436
35,0.2461,0.2021,0.0115,0.1409,0.2461
36,0.2509,0.2035,0.0115,0.1434,0.2509
37,0.2509,0.2047,0.0116,0.1417,0.2509
38,0.2509,0.206,0.0118,0.1507,0.2509
39,0.2509,0.2072,0.0118,0.1524,0.2509
40,0.2567,0.2085,0.0119,0.1507,0.2567
41,0.2567,0.2096,0.0117,0.1499,0.2567
42,0.2567,0.2106,0.0119,0.1523,0.2567
43,0.2607,0.2116,0.012,0.1581,0.2607
44,0.2607,0.2128,0.0119,0.1589,0.2607
45,0.2607,0.2139,0.012,0.1589,0.2607
46,0.2607,0.2149,0.012,0.1597,0.2607
47,0.2607,0.216,0.012,0.1621,0.2607
48,0.264,0.2168,0.0121,0.1548,0.264
49,0.264,0.2178,0.0119,0.1654,0.264
50,0.264,0.2187,0.0119,0.1491,0.264
51,0.264,0.2198,0.0118,0.1589,0.264
52,0.264,0.2206,0.0119,0.167,0.264
53,0.264,0.2213,0.0119,0.1711,0.264
54,0.264,0.2221,0.0119,0.1621,0.264
55,0.264,0.223,0.0118,0.1621,0.264
56,0.2648,0.2239,0.0117,0.1515,0.2648
57,0.2681,0.2246,0.0117,0.167,0.2681
58,0.2681,0.2253,0.0118,0.1613,0.2681
59,0.2681,0.2262,0.0116,0.1735,0.2681
60,0.2681,0.2268,0.0116,0.167,0.2681
61,0.2681,0.2276,0.0115,0.1621,0.2681
62,0.2689,0.2283,0.0115,0.1597,0.2689
63,0.2689,0.2289,0.0116,0.1621,0.2689
64,0.2705,0.2297,0.0117,0.1581,0.2705
65,0.2705,0.2302,0.0117,0.1735,0.2705
66,0.2705,0.2309,0.0117,0.1621,0.2705
67,0.2729,0.2315,0.0119,0.1678,0.2729
68,0.2729,0.2322,0.0117,0.1703,0.2729
69,0.2737,0.2329,0.0117,0.1735,0.2737
70,0.2737,0.2334,0.0115,0.1743,0.2737
71,0.2737,0.2342,0.0117,0.1662,0.2737
72,0.2737,0.2348,0.0116,0.176,0.2737
73,0.277,0.2354,0.0117,0.1776,0.277
74,0.277,0.236,0.0115,0.1857,0.277
75,0.281,0.2366,0.0117,0.1857,0.281
76,0.281,0.2371,0.0116,0.1809,0.281
77,0.281,0.2377,0.0117,0.1792,0.281
78,0.281,0.2383,0.0116,0.1792,0.281
79,0.281,0.2388,0.0116,0.1841,0.281
80,0.281,0.2392,0.0116,0.1857,0.281
81,0.281,0.2397,0.0116,0.1784,0.281
82,0.2843,0.2401,0.0116,0.1784,0.2843
83,0.2843,0.2407,0.0115,0.1857,0.2843
84,0.2843,0.2411,0.0115,0.1849,0.2843
