Generation,Best,Mean,Std,Min,Max
1,0.1874,0.135,0.0138,0.0741,0.1874
2,0.1899,0.1409,0.0113,0.0921,0.1899
3,0.1899,0.1449,0.0104,0.1019,0.1899
4,0.1907,0.148,0.01,0.0839,0.1907
5,0.1907,0.1506,0.0097,0.0937,0.1907
6,0.1907,0.1528,0.0096,0.1035,0.1907
7,0.2021,0.155,0.0096,0.1067,0.2021
8,0.2021,0.1571,0.0097,0.1092,0.2021
9,0.2021,0.1591,0.0097,0.0994,0.2021
10,0.2061,0.1611,0.0098,0.1133,0.2061
11,0.2061,0.1632,0.0097,0.0994,0.2061
12,0.2069,0.1652,0.0098,0.1133,0.2069
13,0.2069,0.1673,0.0098,0.1067,0.2069
14,0.2119,0.1693,0.0098,0.1133,0.2119
15,0.2119,0.1715,0.0098,0.1141,0.2119
16,0.2159,0.1734,0.0099,0.11,0.2159
17,0.2233,0.1752,0.0099,0.1303,0.2233
18,0.2265,0.177,0.01,0.1271,0.2265
19,0.2273,0.1787,0.0101,0.1312,0.2273
20,0.2306,0.1806,0.0102,0.123,0.2306
21,0.2306,0.1822,0.0103,0.1263,0.2306
22,0.2306,0.1838,0.0104,0.1369,0.2306
23,0.2306,0.1855,0.0105,0.1157,0.2306
24,0.2306,0.1872,0.0106,0.1263,0.2306
25,0.2379,0.1887,0.0106,0.1353,0.2379
26,0.2379,0.1903,0.0107,0.1393,0.2379
27,0.2379,0.1918,0.0107,0.1467,0.2379
28,0.2379,0.1932,0.0108,0.1483,0.2379
29,0.2379,0.1945,0.0109,0.1369,0.2379
30,0.2379,0.1958,0.0109,0.1434,0.2379
31,0.2412,0.197,0.011,0.1393,0.2412
32,0.2412,0.1982,0.0109,0.1483,0.2412
33,0.2412,0.1994,0.011,0.1434,0.2412
34,0.2412,0.2006,0.011,0.1515,0.2412
35,0.2412,0.2017,0.011,0.1507,0.2412
36,0.2453,0.2027,0.0111,0.1483,0.2453
37,0.2453,0.2038,0.011,0.1507,0.2453
38,0.2453,0.2048,0.011,0.154,0.2453
39,0.2484,0.2057,0.0109,0.1548,0.2484
40,0.2485,0.2067,0.011,0.1572,0.2485
41,0.2485,0.2076,0.0111,0.1532,0.2485
42,0.2485,0.2087,0.011,0.1556,0.2485
43,0.2485,0.2095,0.011,0.1597,0.2485
44,0.2485,0.2106,0.0111,0.1621,0.2485
45,0.2526,0.2115,0.011,0.1621,0.2526
46,0.2582,0.2124,0.0111,0.1605,0.2582
47,0.2582,0.2135,0.0111,0.1581,0.2582
48,0.259,0.2143,0.0113,0.1581,0.259
49,0.259,0.2152,0.011,0.1621,0.259
50,0.259,0.216,0.011,0.1629,0.259
51,0.259,0.2166,0.0111,0.1646,0.259
52,0.259,0.2174,0.0111,0.1613,0.259
53,0.259,0.2181,0.0112,0.1629,0.259
54,0.259,0.2188,0.0111,0.167,0.259
55,0.2591,0.2195,0.0112,0.154,0.2591
56,0.2607,0.2202,0.0111,0.1703,0.2607
57,0.2607,0.2209,0.011,0.167,0.2607
58,0.2607,0.2216,0.0111,0.1637,0.2607
59,0.2607,0.2222,0.0111,0.1646,0.2607
60,0.2607,0.2228,0.0111,0.1556,0.2607
61,0.2648,0.2235,0.011,0.1695,0.2648
62,0.2648,0.224,0.011,0.1629,0.2648
63,0.2648,0.2246,0.0109,0.1784,0.2648
64,0.2648,0.2251,0.011,0.1703,0.2648
65,0.2648,0.2257,0.0109,0.1743,0.2648
66,0.2648,0.2262,0.0111,0.1711,0.2648
67,0.2648,0.2268,0.0109,0.1784,0.2648
68,0.2681,0.2273,0.0109,0.1735,0.2681
69,0.2681,0.2278,0.0109,0.1735,0.2681
70,0.2696,0.2283,0.0109,0.1703,0.2696
71,0.2696,0.2288,0.0108,0.1743,0.2696
72,0.2696,0.2292,0.0109,0.1751,0.2696
73,0.2696,0.2295,0.0109,0.1735,0.2696
74,0.2696,0.2299,0.0109,0.1792,0.2696
75,0.2696,0.2305,0.0108,0.1751,0.2696
76,0.2696,0.2309,0.011,0.1768,0.2696
77,0.2696,0.2314,0.011,0.1711,0.2696
78,0.2746,0.2318,0.011,0.1776,0.2746
79,0.2746,0.2323,0.011,0.1768,0.2746
80,0.2746,0.2327,0.0109,0.1784,0.2746
81,0.2746,0.233,0.011,0.1809,0.2746
82,0.2746,0.2334,0.0109,0.1809,0.2746
83,0.2746,0.2337,0.0109,0.1792,0.2746
84,0.2746,0.234,0.011,0.1857,0.2746
85,0.2746,0.2343,0.0111,0.1768,0.2746
86,0.2762,0.2347,0.011,0.1824,0.2762
87,0.2762,0.235,0.0111,0.167,0.2762
88,0.2762,0.2355,0.0109,0.1727,0.2762
89,0.2762,0.2358,0.0109,0.1849,0.2762
90,0.2762,0.2361,0.011,0.1752,0.2762
91,0.2762,0.2365,0.0112,0.1849,0.2762
92,0.2762,0.2368,0.011,0.1743,0.2762
93,0.2762,0.2372,0.0111,0.1817,0.2762
94,0.2762,0.2375,0.011,0.1866,0.2762
95,0.2762,0.2376,0.0111,0.1825,0.2762
96,0.2762,0.2379,0.0111,0.1784,0.2762
97,0.2762,0.2381,0.0112,0.1874,0.2762
98,0.277,0.2385,0.0111,0.1809,0.277
99,0.277,0.2386,0.0114,0.1865,0.277
100,0.277,0.2388,0.0113,0.1703,0.277
101,0.277,0.2392,0.0113,0.1882,0.277
102,0.277,0.2395,0.0113,0.1727,0.277
103,0.2802,0.2397,0.0113,0.1824,0.2802
104,0.2818,0.2401,0.0113,0.1891,0.2818
105,0.2818,0.2405,0.0112,0.1858,0.2818
106,0.2818,0.2407,0.0113,0.1915,0.2818
107,0.2818,0.2409,0.0113,0.1857,0.2818
108,0.2818,0.2412,0.0113,0.1817,0.2818
109,0.2818,0.2415,0.0112,0.1898,0.2818
110,0.2818,0.2417,0.0113,0.1817,0.2818
111,0.2818,0.242,0.0114,0.1874,0.2818
112,0.2818,0.2423,0.0114,0.1874,0.2818
113,0.2818,0.2425,0.0115,0.1743,0.2818
114,0.2843,0.2427,0.0114,0.1882,0.2843
115,0.2843,0.243,0.0114,0.176,0.2843
116,0.2843,0.2432,0.0115,0.1907,0.2843
117,0.2843,0.2434,0.0115,0.1743,0.2843
118,0.2843,0.2436,0.0116,0.1874,0.2843
119,0.2843,0.2437,0.0116,0.1866,0.2843
120,0.2843,0.2441,0.0116,0.1833,0.2843
121,0.2843,0.2444,0.0116,0.1849,0.2843
122,0.2843,0.2444,0.0116,0.1849,0.2843
123,0.2843,0.2447,0.0114,0.189,0.2843
124,0.2843,0.2447,0.0114,0.1882,0.2843
125,0.2843,0.2449,0.0114,0.193,0.2843
126,0.2843,0.2452,0.0113,0.193,0.2843
127,0.2843,0.2453,0.0114,0.1882,0.2843
128,0.2843,0.2454,0.0115,0.1849,0.2843
129,0.2843,0.2457,0.0113,0.1947,0.2843
130,0.2843,0.2457,0.0114,0.1784,0.2843
131,0.2851,0.2459,0.0115,0.189,0.2851
132,0.2851,0.2461,0.0115,0.1857,0.2851
133,0.2851,0.2462,0.0115,0.1899,0.2851
134,0.2851,0.2463,0.0116,0.1841,0.2851
135,0.2851,0.2463,0.0116,0.1907,0.2851
136,0.2851,0.2465,0.0117,0.1882,0.2851
137,0.2851,0.2467,0.0117,0.1865,0.2851
138,0.2851,0.247,0.0118,0.1785,0.2851
139,0.2851,0.2471,0.0117,0.1825,0.2851
140,0.2851,0.2473,0.0118,0.1809,0.2851
141,0.2851,0.2474,0.0118,0.1751,0.2851
142,0.2851,0.2476,0.0118,0.1923,0.2851
143,0.2859,0.2476,0.0118,0.1809,0.2859
144,0.2859,0.2478,0.0117,0.1817,0.2859
145,0.2876,0.2478,0.012,0.1874,0.2876
146,0.2876,0.2481,0.0118,0.1915,0.2876
147,0.2876,0.2482,0.0119,0.193,0.2876
148,0.2876,0.2484,0.0119,0.1841,0.2876
149,0.2876,0.2485,0.012,0.189,0.2876
150,0.2876,0.2486,0.0119,0.1809,0.2876
151,0.2876,0.2487,0.0119,0.1931,0.2876
152,0.2876,0.2488,0.0119,0.1841,0.2876
153,0.2876,0.2489,0.012,0.1915,0.2876
154,0.2876,0.249,0.0119,0.1971,0.2876
155,0.2876,0.2491,0.0119,0.1841,0.2876
156,0.2884,0.2493,0.0118,0.1898,0.2884
157,0.2884,0.2493,0.0118,0.1899,0.2884
158,0.2884,0.2494,0.0118,0.1915,0.2884
159,0.2884,0.2494,0.0118,0.176,0.2884
160,0.2884,0.2494,0.0118,0.1703,0.2884
161,0.2884,0.2496,0.0119,0.1923,0.2884
162,0.2884,0.2496,0.0118,0.1923,0.2884
163,0.2884,0.2496,0.0118,0.198,0.2884
164,0.2884,0.2498,0.0118,0.1768,0.2884
165,0.2884,0.2499,0.0119,0.1899,0.2884
166,0.2884,0.2499,0.0118,0.1906,0.2884
167,0.2916,0.2499,0.0118,0.1882,0.2916
168,0.2916,0.25,0.0118,0.1825,0.2916
169,0.2916,0.2502,0.0117,0.1891,0.2916
170,0.2916,0.2503,0.0118,0.1825,0.2916
171,0.2916,0.2504,0.0118,0.1824,0.2916
172,0.2916,0.2505,0.0118,0.1915,0.2916
173,0.2916,0.2507,0.0119,0.1955,0.2916
174,0.2916,0.2507,0.012,0.1972,0.2916
175,0.2916,0.251,0.0119,0.1882,0.2916
176,0.2916,0.2509,0.012,0.1923,0.2916
177,0.2949,0.2511,0.0121,0.1833,0.2949
178,0.2949,0.2512,0.0121,0.193,0.2949
179,0.2949,0.2512,0.0121,0.1955,0.2949
180,0.2949,0.2513,0.0122,0.1939,0.2949
181,0.2949,0.2514,0.0122,0.189,0.2949
182,0.2949,0.2515,0.0123,0.1809,0.2949
183,0.2949,0.2516,0.0122,0.1947,0.2949
184,0.2949,0.2517,0.0122,0.1988,0.2949
185,0.2949,0.2518,0.0123,0.1947,0.2949
186,0.2949,0.2518,0.0122,0.1923,0.2949
187,0.2949,0.2518,0.0123,0.1923,0.2949
