Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
0.2762,0.2843,0.2786,0.2868,0.2973,0.2876,0.1964
0.2762,0.2843,0.2786,0.2868,0.2973,0.2876,0.1964
0.2762,0.2843,0.2786,0.2868,0.2973,0.2876,0.1964
0.2762,0.2851,0.2786,0.2868,0.2973,0.2876,0.1964
0.2762,0.2851,0.2786,0.2868,0.2973,0.2876,0.1964
0.2762,0.2851,0.2786,0.2884,0.2973,0.2876,0.1964
0.277,0.2851,0.2787,0.2884,0.2973,0.2876,0.1964
0.277,0.2851,0.2802,0.2884,0.2973,0.2901,0.1964
0.277,0.2851,0.2802,0.2884,0.2973,0.2901,0.1964
0.277,0.2851,0.2802,0.2884,0.2973,0.2901,0.1964
0.277,0.2868,0.2802,0.2908,0.2973,0.2901,0.1964
0.2802,0.2868,0.2802,0.2908,0.2973,0.2901,0.1964
0.2818,0.2868,0.2859,0.2908,0.2973,0.2901,0.1964
0.2818,0.2884,0.2859,0.2908,0.2973,0.2901,0.1964
0.2818,0.2884,0.2859,0.2924,0.2973,0.2901,0.1964
0.2818,0.2884,0.2859,0.2924,0.2973,0.2901,0.1964
0.2818,0.2884,0.2859,0.2924,0.3014,0.2901,0.1964
0.2818,0.2884,0.2859,0.2924,0.3014,0.2901,0.1964
0.2818,0.2884,0.2859,0.2949,0.3014,0.2901,0.1964
0.2818,0.2884,0.2859,0.2949,0.3014,0.2901,0.1964
0.2818,0.2884,0.2859,0.2949,0.3014,0.2901,0.1964
0.2818,0.2884,0.2859,0.2949,0.3014,0.2901,0.1964
0.2843,0.2884,0.2859,0.2949,0.3014,0.2901,0.1964
0.2843,0.2884,0.2859,0.2949,0.3046,0.2901,0.1964
0.2843,0.2884,0.2867,0.2949,0.3046,0.2901,0.1964
0.2843,0.2893,0.2867,0.2949,0.3046,0.2901,0.1964
0.2843,0.2893,0.2867,0.2949,0.3046,0.2901,0.1964
0.2843,0.2893,0.2867,0.2949,0.3046,0.2901,0.1964
0.2843,0.2908,0.2867,0.2949,0.3046,0.2901,0.1964
0.2843,0.2908,0.2867,0.2949,0.3046,0.2901,0.1964
0.2843,0.2908,0.2867,0.2949,0.3046,0.2908,0.1964
0.2843,0.2908,0.2867,0.2949,0.3046,0.2908,0.1964
0.2843,0.2916,0.2867,0.2949,0.3046,0.2916,0.1964
0.2843,0.2916,0.2867,0.2949,0.3046,0.2932,0.1964
0.2843,0.2916,0.2867,0.2957,0.3046,0.2932,0.1964
0.2843,0.2949,0.2867,0.2957,0.3046,0.2949,0.1964
0.2843,0.2949,0.2867,0.2957,0.3046,0.2949,0.1964
0.2843,0.2949,0.2867,0.2957,0.3046,0.2982,0.1964
0.2843,0.2949,0.29,0.2957,0.3046,0.2982,0.1964
0.2851,0.2949,0.29,0.2957,0.3046,0.2982,0.1964
0.2851,0.2949,0.29,0.2957,0.3046,0.2982,0.1964
0.2851,0.2949,0.29,0.2957,0.3046,0.2982,0.1964
0.2851,0.2949,0.29,0.2957,0.3046,0.2982,0.1964
0.2851,0.2949,0.29,0.2957,0.3046,0.2982,0.1964
0.2851,0.2949,0.29,0.2957,0.3046,0.2982,0.1964
0.2851,0.2949,0.29,0.2957,0.3088,0.2982,0.1964
0.2851,0.2949,0.294,0.2957,0.3088,0.2982,0.1964
0.2851,0.2949,0.294,0.2957,0.3088,0.2982,0.1964
0.2851,0.2949,0.294,0.2957,0.3088,0.2982,0.1964
0.2851,0.2949,0.294,0.2957,0.3088,0.299,0.1964
0.2851,0.2949,0.2973,0.2957,0.3088,0.299,0.1964
0.2859,0.2957,0.2973,0.2982,0.3088,0.299,0.198
0.2859,0.2957,0.2973,0.2982,0.3088,0.3022,0.198
0.2876,0.2957,0.2973,0.2982,0.3088,0.303,0.198
0.2876,0.2957,0.2973,0.2982,0.3088,0.303,0.198
0.2876,0.2957,0.2973,0.2982,0.3088,0.303,0.198
0.2876,0.2957,0.2973,0.2982,0.3088,0.303,0.198
0.2876,0.2957,0.2973,0.2982,0.3088,0.303,0.198
0.2876,0.2957,0.2998,0.2982,0.3088,0.303,0.198
0.2876,0.2982,0.2998,0.2982,0.3088,0.303,0.198
0.2876,0.2982,0.2998,0.2982,0.3088,0.303,0.198
0.2876,0.2982,0.2998,0.2982,0.3088,0.303,0.198
0.2876,0.2982,0.2998,0.2982,0.3088,0.303,0.198
0.2876,0.2982,0.2998,0.2982,0.3096,0.303,0.198
0.2884,0.2982,0.2998,0.299,0.3096,0.303,0.198
0.2884,0.2982,0.2998,0.299,0.3096,0.303,0.198
0.2884,0.2982,0.3054,0.299,0.3096,0.303,0.198
0.2884,0.2982,0.3054,0.299,0.3193,0.303,0.198
0.2884,0.2982,0.3054,0.299,0.3193,0.303,0.198
0.2884,0.2982,0.3054,0.299,0.3193,0.303,0.198
0.2884,0.2982,0.3054,0.3038,0.3193,0.303,0.198
0.2884,0.2982,0.3071,0.3038,0.3193,0.303,0.198
0.2884,0.2998,0.3071,0.3038,0.3193,0.303,0.198
0.2884,0.2998,0.3071,0.3038,0.3193,0.3038,0.198
0.2884,0.2998,0.3079,0.3038,0.3193,0.3038,0.198
0.2916,0.2998,0.3079,0.3038,0.3193,0.3038,0.198
0.2916,0.2998,0.3079,0.3038,0.3193,0.3038,0.198
0.2916,0.2998,0.3079,0.3038,0.3193,0.3038,0.198
0.2916,0.2998,0.3079,0.3038,0.3194,0.3071,0.198
0.2916,0.2998,0.3112,0.3038,0.3194,0.3071,0.198
