Generation,Best,Mean,Std,Min,Max
1,0.1824,0.1348,0.0138,0.0782,0.1824
2,0.1874,0.1409,0.0113,0.0945,0.1874
3,0.1874,0.1448,0.0104,0.1019,0.1874
4,0.1923,0.1478,0.0101,0.088,0.1923
5,0.1923,0.1504,0.0098,0.101,0.1923
6,0.1955,0.1528,0.0096,0.0994,0.1955
7,0.1955,0.1549,0.0096,0.0953,0.1955
8,0.1955,0.157,0.0096,0.0986,0.1955
9,0.198,0.159,0.0096,0.0994,0.198
10,0.2069,0.161,0.0097,0.1059,0.2069
11,0.2069,0.1629,0.0097,0.1051,0.2069
12,0.2086,0.1647,0.0097,0.1141,0.2086
13,0.2086,0.1664,0.0099,0.1108,0.2086
14,0.2086,0.1681,0.01,0.1133,0.2086
15,0.2167,0.1699,0.01,0.1125,0.2167
16,0.2167,0.1716,0.0102,0.1116,0.2167
17,0.2175,0.1734,0.0102,0.1198,0.2175
18,0.2175,0.1751,0.0103,0.1255,0.2175
19,0.2175,0.1769,0.0104,0.1287,0.2175
20,0.22,0.1787,0.0105,0.1279,0.22
21,0.22,0.1803,0.0105,0.1361,0.22
22,0.2225,0.1819,0.0106,0.1337,0.2225
23,0.2273,0.1834,0.0107,0.1295,0.2273
24,0.2273,0.1849,0.0106,0.1198,0.2273
25,0.2273,0.1865,0.0106,0.1377,0.2273
26,0.2306,0.188,0.0105,0.1345,0.2306
27,0.2322,0.1893,0.0107,0.1336,0.2322
28,0.2339,0.1906,0.0106,0.1434,0.2339
29,0.2339,0.192,0.0106,0.145,0.2339
30,0.2339,0.1933,0.0107,0.1304,0.2339
31,0.2347,0.1946,0.0107,0.145,0.2347
32,0.2387,0.1959,0.011,0.1409,0.2387
33,0.2445,0.1973,0.0111,0.1361,0.2445
34,0.2445,0.1986,0.0113,0.1426,0.2445
35,0.2445,0.2001,0.0111,0.1434,0.2445
36,0.2445,0.2014,0.0112,0.1409,0.2445
37,0.2453,0.2027,0.0113,0.1499,0.2453
38,0.2453,0.204,0.0113,0.1507,0.2453
39,0.2476,0.2052,0.0113,0.1418,0.2476
40,0.2476,0.2066,0.0114,0.1589,0.2476
41,0.2476,0.2078,0.0115,0.1565,0.2476
42,0.2477,0.2091,0.0114,0.1515,0.2477
43,0.2477,0.2102,0.0115,0.1581,0.2477
44,0.2501,0.2113,0.0114,0.1581,0.2501
45,0.2534,0.2123,0.0115,0.1589,0.2534
46,0.2534,0.2135,0.0115,0.1589,0.2534
47,0.2534,0.2145,0.0115,0.1491,0.2534
48,0.2567,0.2157,0.0115,0.1645,0.2567
49,0.2567,0.2166,0.0115,0.1605,0.2567
50,0.2582,0.2176,0.0116,0.1653,0.2582
51,0.2582,0.2184,0.0115,0.1662,0.2582
52,0.2582,0.2194,0.0115,0.1687,0.2582
53,0.2582,0.2203,0.0114,0.1523,0.2582
54,0.2582,0.2212,0.0114,0.1629,0.2582
55,0.2615,0.2221,0.0113,0.1646,0.2615
56,0.2615,0.2228,0.0113,0.1645,0.2615
57,0.2615,0.2236,0.0112,0.1695,0.2615
58,0.2632,0.2244,0.0113,0.1718,0.2632
59,0.2721,0.2253,0.0112,0.1629,0.2721
60,0.2721,0.2259,0.0112,0.1662,0.2721
61,0.2721,0.2266,0.0112,0.1662,0.2721
62,0.2721,0.2274,0.0112,0.1759,0.2721
63,0.2721,0.2281,0.0112,0.1711,0.2721
64,0.2721,0.2287,0.0111,0.167,0.2721
65,0.2721,0.2293,0.011,0.1768,0.2721
66,0.2721,0.2299,0.011,0.1768,0.2721
67,0.2721,0.2306,0.0109,0.1735,0.2721
68,0.2721,0.2312,0.011,0.1784,0.2721
69,0.2721,0.232,0.0108,0.1841,0.2721
