Generation,Best,Mean,Std,Min,Max
105,0.1964,0.1351,0.0142,0.0701,0.1964
106,0.1964,0.1352,0.0142,0.0758,0.1964
107,0.1964,0.1349,0.0142,0.0782,0.1964
108,0.1964,0.1349,0.0142,0.0774,0.1964
109,0.1964,0.1349,0.0143,0.0766,0.1964
110,0.1964,0.1349,0.0142,0.0807,0.1964
111,0.1964,0.1351,0.0142,0.0733,0.1964
112,0.1964,0.135,0.0142,0.0799,0.1964
113,0.1964,0.1349,0.0142,0.0741,0.1964
114,0.1964,0.1348,0.0141,0.0839,0.1964
115,0.1964,0.1349,0.0143,0.066,0.1964
116,0.1964,0.1348,0.0142,0.0807,0.1964
117,0.1964,0.135,0.0142,0.0725,0.1964
118,0.1964,0.1349,0.0142,0.0766,0.1964
119,0.1964,0.1349,0.0142,0.0807,0.1964
120,0.1964,0.1349,0.0141,0.0701,0.1964
121,0.1964,0.135,0.0142,0.0807,0.1964
122,0.1964,0.1349,0.0142,0.0774,0.1964
123,0.1964,0.135,0.0142,0.0815,0.1964
124,0.1964,0.1348,0.0143,0.0815,0.1964
125,0.1964,0.1351,0.0143,0.0766,0.1964
126,0.1964,0.135,0.0142,0.0733,0.1964
127,0.1964,0.1349,0.0142,0.0766,0.1964
128,0.1964,0.1351,0.0141,0.0815,0.1964
129,0.1964,0.135,0.0141,0.0733,0.1964
130,0.1964,0.1348,0.0142,0.0815,0.1964
131,0.1964,0.135,0.0142,0.0733,0.1964
132,0.1964,0.135,0.0142,0.0774,0.1964
133,0.1964,0.1349,0.0143,0.0733,0.1964
134,0.1964,0.1349,0.0142,0.0701,0.1964
135,0.1964,0.1348,0.0141,0.066,0.1964
136,0.1964,0.135,0.0143,0.0733,0.1964
137,0.1964,0.135,0.0142,0.0799,0.1964
138,0.1964,0.1349,0.0142,0.0774,0.1964
139,0.1964,0.135,0.0143,0.0627,0.1964
140,0.1964,0.1349,0.0142,0.0733,0.1964
141,0.1964,0.1351,0.0143,0.0774,0.1964
142,0.1964,0.1352,0.0142,0.0807,0.1964
143,0.198,0.1349,0.0142,0.0839,0.198
144,0.198,0.1349,0.0143,0.0782,0.198
145,0.198,0.1352,0.0143,0.0766,0.198
146,0.198,0.135,0.0144,0.0741,0.198
147,0.198,0.1349,0.0142,0.0815,0.198
148,0.198,0.1351,0.0141,0.0791,0.198
149,0.198,0.135,0.0142,0.0807,0.198
150,0.198,0.1349,0.0143,0.0774,0.198
151,0.198,0.1349,0.0142,0.0807,0.198
152,0.198,0.1349,0.0143,0.0774,0.198
153,0.198,0.1351,0.0143,0.0807,0.198
154,0.198,0.1349,0.0143,0.0774,0.198
155,0.198,0.1351,0.0144,0.0701,0.198
156,0.198,0.1348,0.0143,0.0693,0.198
157,0.198,0.1349,0.0143,0.0685,0.198
158,0.198,0.1347,0.0142,0.0562,0.198
159,0.198,0.1349,0.0142,0.0774,0.198
160,0.198,0.1348,0.0142,0.0766,0.198
161,0.198,0.1348,0.0143,0.0807,0.198
162,0.198,0.1348,0.0143,0.0725,0.198
163,0.198,0.1351,0.0143,0.0725,0.198
164,0.198,0.1351,0.0143,0.0693,0.198
165,0.198,0.1349,0.0142,0.0807,0.198
166,0.198,0.1349,0.0142,0.0766,0.198
167,0.198,0.135,0.0142,0.0725,0.198
168,0.198,0.135,0.0141,0.0733,0.198
169,0.198,0.135,0.0142,0.0807,0.198
170,0.198,0.1351,0.0142,0.0693,0.198
171,0.198,0.135,0.0142,0.0701,0.198
172,0.198,0.1351,0.0143,0.0741,0.198
173,0.198,0.1351,0.0143,0.0758,0.198
174,0.198,0.1349,0.0142,0.0807,0.198
175,0.198,0.1348,0.0141,0.0799,0.198
176,0.2029,0.1349,0.0142,0.0766,0.2029
177,0.2029,0.1348,0.0142,0.0725,0.2029
178,0.2029,0.1349,0.0143,0.0741,0.2029
179,0.2029,0.1349,0.0142,0.0774,0.2029
180,0.2029,0.1349,0.0143,0.0774,0.2029
181,0.2029,0.135,0.0143,0.066,0.2029
182,0.2029,0.1349,0.0143,0.0741,0.2029
183,0.2029,0.1349,0.0143,0.0733,0.2029
184,0.2029,0.1349,0.0144,0.0717,0.2029
185,0.2029,0.135,0.0141,0.0799,0.2029
186,0.2029,0.1349,0.0142,0.066,0.2029
187,0.2029,0.135,0.0142,0.0766,0.2029
188,0.2029,0.1349,0.0142,0.0741,0.2029
189,0.2029,0.1351,0.0142,0.0766,0.2029
190,0.2029,0.1349,0.0142,0.0774,0.2029
191,0.2029,0.135,0.0142,0.0774,0.2029
192,0.2029,0.135,0.0143,0.0774,0.2029
193,0.2029,0.1351,0.0142,0.0823,0.2029
194,0.2029,0.1349,0.0143,0.0807,0.2029
195,0.2029,0.1349,0.0142,0.0831,0.2029
196,0.2029,0.135,0.0142,0.0693,0.2029
197,0.2029,0.1349,0.0142,0.0733,0.2029
198,0.2029,0.1349,0.0143,0.0774,0.2029
199,0.2029,0.135,0.0142,0.0807,0.2029
200,0.2029,0.135,0.0144,0.0799,0.2029
201,0.2029,0.1351,0.0142,0.0807,0.2029
202,0.2029,0.135,0.0142,0.0693,0.2029
203,0.2029,0.1351,0.0142,0.0766,0.2029
204,0.2029,0.1348,0.0142,0.0733,0.2029
205,0.2029,0.135,0.0142,0.0799,0.2029
206,0.2029,0.1349,0.0143,0.0807,0.2029
207,0.2029,0.1351,0.0143,0.0807,0.2029
208,0.2029,0.1349,0.0143,0.0741,0.2029
209,0.2029,0.1351,0.0142,0.0774,0.2029
210,0.2029,0.1351,0.0142,0.0807,0.2029
211,0.2029,0.1349,0.0143,0.0709,0.2029
212,0.2029,0.1348,0.0142,0.0766,0.2029
213,0.2029,0.1348,0.0142,0.0799,0.2029
214,0.2029,0.1351,0.0142,0.0799,0.2029
215,0.2029,0.1348,0.0143,0.0709,0.2029
216,0.2029,0.1349,0.0143,0.079,0.2029
217,0.2029,0.1349,0.0142,0.0774,0.2029
218,0.2029,0.135,0.0142,0.0766,0.2029
219,0.2029,0.135,0.0143,0.0766,0.2029
220,0.2029,0.1349,0.0143,0.0693,0.2029
221,0.2029,0.135,0.0142,0.0725,0.2029
222,0.2029,0.1349,0.0142,0.0774,0.2029
223,0.2029,0.1349,0.0142,0.0774,0.2029
224,0.2029,0.1351,0.0143,0.0799,0.2029
225,0.2029,0.135,0.0143,0.0733,0.2029
226,0.2029,0.1351,0.0143,0.0774,0.2029
227,0.2029,0.135,0.0142,0.0807,0.2029
228,0.2029,0.1351,0.0144,0.0766,0.2029
229,0.2029,0.1349,0.0142,0.0766,0.2029
230,0.2029,0.135,0.0143,0.0733,0.2029
231,0.2029,0.135,0.0143,0.0733,0.2029
232,0.2029,0.1349,0.0141,0.0799,0.2029
233,0.2029,0.1349,0.0144,0.0774,0.2029
234,0.2029,0.135,0.0142,0.0831,0.2029
235,0.2029,0.1349,0.0142,0.0774,0.2029
236,0.2029,0.1348,0.0141,0.0774,0.2029
237,0.2029,0.1349,0.0142,0.0766,0.2029
238,0.2029,0.1349,0.0141,0.0733,0.2029
239,0.2029,0.135,0.0142,0.0725,0.2029
240,0.2029,0.1349,0.0143,0.0799,0.2029
241,0.2029,0.135,0.0142,0.0774,0.2029
242,0.2029,0.1349,0.0142,0.0766,0.2029
243,0.2029,0.1349,0.0144,0.066,0.2029
244,0.2029,0.135,0.0142,0.0758,0.2029
245,0.2029,0.1351,0.0142,0.0741,0.2029
246,0.2029,0.135,0.0142,0.0766,0.2029
247,0.2029,0.1348,0.0141,0.0774,0.2029
248,0.2029,0.1349,0.0144,0.0741,0.2029
249,0.2029,0.1349,0.0143,0.0766,0.2029
250,0.2029,0.135,0.0142,0.0807,0.2029
251,0.2029,0.1348,0.0144,0.0766,0.2029
