Generation,Best,Mean,Std,Min,Max
1,0.1825,0.1347,0.0139,0.0774,0.1825
2,0.1849,0.1406,0.0112,0.0815,0.1849
3,0.1849,0.1442,0.0104,0.0953,0.1849
4,0.1874,0.1472,0.0102,0.0953,0.1874
5,0.189,0.1497,0.01,0.1035,0.189
6,0.1907,0.1519,0.0098,0.0945,0.1907
7,0.1939,0.154,0.0098,0.1027,0.1939
8,0.2053,0.156,0.0098,0.1075,0.2053
9,0.2053,0.1579,0.0099,0.1059,0.2053
10,0.2053,0.1597,0.01,0.1027,0.2053
11,0.2053,0.1617,0.0099,0.1133,0.2053
12,0.2053,0.1633,0.01,0.1019,0.2053
13,0.2086,0.1652,0.01,0.1092,0.2086
14,0.2086,0.1671,0.0101,0.1173,0.2086
15,0.2094,0.1689,0.01,0.1141,0.2094
16,0.2159,0.1707,0.0101,0.1189,0.2159
17,0.2159,0.1724,0.0102,0.1067,0.2159
18,0.2159,0.1742,0.0103,0.1222,0.2159
19,0.2167,0.1759,0.0104,0.1133,0.2167
20,0.2167,0.1776,0.0105,0.1239,0.2167
21,0.2273,0.1794,0.0106,0.132,0.2273
22,0.2273,0.1812,0.0108,0.1247,0.2273
23,0.2273,0.183,0.0108,0.1271,0.2273
24,0.2273,0.1847,0.0108,0.1336,0.2273
25,0.2298,0.1865,0.0109,0.1377,0.2298
26,0.2322,0.1882,0.0108,0.1377,0.2322
27,0.2322,0.1897,0.0109,0.1345,0.2322
28,0.2322,0.191,0.0109,0.1417,0.2322
29,0.2428,0.1926,0.0109,0.1401,0.2428
30,0.2428,0.194,0.0111,0.1312,0.2428
31,0.2428,0.1953,0.0112,0.132,0.2428
32,0.2428,0.1968,0.0111,0.1483,0.2428
33,0.2428,0.1983,0.0111,0.1442,0.2428
34,0.2428,0.1997,0.0112,0.1385,0.2428
35,0.2428,0.2012,0.0112,0.1434,0.2428
36,0.2469,0.2027,0.0113,0.1499,0.2469
37,0.2493,0.204,0.0114,0.1467,0.2493
38,0.2501,0.2052,0.0114,0.1467,0.2501
39,0.2501,0.2065,0.0115,0.1434,0.2501
40,0.2501,0.2078,0.0114,0.1613,0.2501
41,0.2501,0.2093,0.0113,0.1459,0.2501
42,0.2517,0.2102,0.0114,0.1572,0.2517
43,0.2542,0.2113,0.0115,0.1581,0.2542
44,0.2542,0.2123,0.0115,0.1459,0.2542
45,0.2558,0.2135,0.0114,0.1515,0.2558
46,0.2558,0.2146,0.0114,0.1573,0.2558
47,0.2598,0.2158,0.0115,0.1564,0.2598
48,0.2598,0.2167,0.0114,0.167,0.2598
49,0.2624,0.2178,0.0115,0.1613,0.2624
50,0.2632,0.219,0.0114,0.1679,0.2632
51,0.2632,0.2201,0.0115,0.167,0.2632
52,0.2632,0.2211,0.0115,0.1703,0.2632
53,0.2632,0.222,0.0115,0.1531,0.2632
54,0.2632,0.2231,0.0114,0.1751,0.2632
55,0.2632,0.2239,0.0116,0.1654,0.2632
56,0.2704,0.2248,0.0116,0.1581,0.2704
57,0.2704,0.2257,0.0116,0.167,0.2704
58,0.2729,0.2265,0.0117,0.1743,0.2729
59,0.2729,0.2274,0.0116,0.167,0.2729
60,0.2729,0.2281,0.0116,0.1703,0.2729
61,0.2729,0.2288,0.0115,0.1703,0.2729
62,0.2729,0.2295,0.0115,0.1695,0.2729
63,0.2729,0.2303,0.0115,0.1785,0.2729
64,0.2729,0.2309,0.0115,0.1711,0.2729
65,0.2745,0.2317,0.0115,0.1825,0.2745
66,0.2745,0.2324,0.0116,0.1768,0.2745
67,0.2745,0.2331,0.0118,0.1662,0.2745
68,0.2754,0.2339,0.0117,0.1768,0.2754
69,0.281,0.2346,0.0117,0.1809,0.281
70,0.281,0.2352,0.0117,0.1833,0.281
71,0.281,0.2358,0.012,0.1695,0.281
72,0.281,0.2366,0.0117,0.1817,0.281
73,0.2818,0.2372,0.0118,0.1785,0.2818
74,0.2818,0.2378,0.0119,0.1727,0.2818
75,0.2892,0.2384,0.0118,0.1817,0.2892
76,0.2892,0.2389,0.0118,0.189,0.2892
77,0.2892,0.2394,0.0118,0.1801,0.2892
78,0.2892,0.2399,0.0118,0.1809,0.2892
79,0.2892,0.2405,0.0119,0.1833,0.2892
80,0.2892,0.2412,0.0118,0.1809,0.2892
81,0.2892,0.2416,0.0118,0.1743,0.2892
82,0.2892,0.2422,0.0119,0.1801,0.2892
83,0.2892,0.2428,0.0119,0.1874,0.2892
84,0.2973,0.2433,0.0119,0.1727,0.2973
85,0.2973,0.2439,0.0118,0.1865,0.2973
86,0.2973,0.2444,0.0118,0.1866,0.2973
87,0.2973,0.2448,0.0118,0.1947,0.2973
88,0.2973,0.2453,0.0118,0.1874,0.2973
89,0.2973,0.2459,0.0117,0.1817,0.2973
90,0.2973,0.2463,0.0117,0.1907,0.2973
91,0.2973,0.2469,0.0118,0.1915,0.2973
92,0.2973,0.2474,0.0118,0.1857,0.2973
93,0.2973,0.248,0.0118,0.1923,0.2973
94,0.2973,0.2484,0.0118,0.1898,0.2973
95,0.2973,0.2488,0.0117,0.1906,0.2973
96,0.2973,0.2493,0.0117,0.1939,0.2973
97,0.2973,0.2498,0.0118,0.1955,0.2973
98,0.2973,0.2503,0.0118,0.1971,0.2973
99,0.2973,0.2508,0.0118,0.1971,0.2973
100,0.2973,0.2511,0.0119,0.189,0.2973
