Generation,Best,Mean,Std,Min,Max
1,0.1923,0.1349,0.0138,0.0774,0.1923
2,0.1923,0.1411,0.0112,0.0815,0.1923
3,0.1923,0.1449,0.0105,0.0953,0.1923
4,0.1923,0.148,0.0099,0.0986,0.1923
5,0.1923,0.1506,0.0097,0.0994,0.1923
6,0.1923,0.153,0.0097,0.0961,0.1923
7,0.1972,0.1552,0.0096,0.1059,0.1972
8,0.2005,0.1572,0.0096,0.1019,0.2005
9,0.2005,0.1592,0.0096,0.0994,0.2005
10,0.2005,0.1612,0.0096,0.0986,0.2005
11,0.2045,0.1631,0.0096,0.1133,0.2045
12,0.2045,0.1648,0.0096,0.1141,0.2045
13,0.2127,0.1667,0.0097,0.1067,0.2127
14,0.2127,0.1685,0.0098,0.1027,0.2127
15,0.2127,0.1702,0.0098,0.1214,0.2127
16,0.2127,0.172,0.01,0.1133,0.2127
17,0.2151,0.1738,0.0099,0.1133,0.2151
18,0.2192,0.1755,0.01,0.1239,0.2192
19,0.2192,0.1772,0.0101,0.1222,0.2192
20,0.2192,0.1789,0.0101,0.1279,0.2192
21,0.2192,0.1806,0.0102,0.1239,0.2192
22,0.22,0.1823,0.0102,0.1255,0.22
23,0.2233,0.1837,0.0103,0.132,0.2233
24,0.2281,0.1854,0.0103,0.1361,0.2281
25,0.2322,0.1869,0.0104,0.1287,0.2322
26,0.2322,0.1884,0.0105,0.1401,0.2322
27,0.2355,0.1899,0.0106,0.1385,0.2355
28,0.2518,0.1915,0.0105,0.1442,0.2518
29,0.2518,0.1929,0.0107,0.1223,0.2518
30,0.2518,0.1943,0.0107,0.1467,0.2518
31,0.2518,0.1958,0.0108,0.1442,0.2518
32,0.2518,0.1973,0.0108,0.1451,0.2518
33,0.2518,0.1986,0.011,0.1377,0.2518
34,0.2518,0.2001,0.0109,0.1523,0.2518
35,0.2518,0.2014,0.011,0.1532,0.2518
36,0.2518,0.2026,0.0111,0.1442,0.2518
37,0.2526,0.2037,0.0111,0.1475,0.2526
38,0.2526,0.205,0.0111,0.1507,0.2526
39,0.2526,0.2062,0.0112,0.1523,0.2526
40,0.2526,0.2075,0.0112,0.1581,0.2526
41,0.2526,0.2085,0.0112,0.1556,0.2526
42,0.2526,0.2096,0.0113,0.1523,0.2526
43,0.2559,0.2106,0.0113,0.1531,0.2559
44,0.2559,0.2116,0.0114,0.1475,0.2559
45,0.2559,0.2126,0.0116,0.163,0.2559
46,0.2575,0.2137,0.0115,0.1458,0.2575
47,0.2575,0.2145,0.0115,0.1548,0.2575
48,0.2575,0.2155,0.0115,0.1581,0.2575
49,0.2575,0.2163,0.0113,0.1654,0.2575
50,0.2575,0.217,0.0114,0.1597,0.2575
51,0.2575,0.2178,0.0113,0.1605,0.2575
52,0.2615,0.2185,0.0115,0.1597,0.2615
53,0.2615,0.2191,0.0115,0.1589,0.2615
54,0.2615,0.2197,0.0115,0.1515,0.2615
55,0.2615,0.2204,0.0116,0.1621,0.2615
56,0.2623,0.2211,0.0115,0.1581,0.2623
57,0.2623,0.2217,0.0115,0.167,0.2623
58,0.2648,0.2225,0.0115,0.1629,0.2648
59,0.2648,0.2233,0.0114,0.167,0.2648
60,0.2656,0.2238,0.0115,0.1679,0.2656
61,0.2656,0.2244,0.0115,0.1605,0.2656
62,0.2656,0.225,0.0115,0.1629,0.2656
63,0.2697,0.2256,0.0117,0.1589,0.2697
64,0.2697,0.2262,0.0117,0.1556,0.2697
65,0.2697,0.2268,0.0119,0.1743,0.2697
66,0.2697,0.2273,0.012,0.167,0.2697
67,0.2697,0.2279,0.012,0.1679,0.2697
68,0.2697,0.2285,0.0119,0.1621,0.2697
69,0.2697,0.2291,0.0121,0.1678,0.2697
70,0.2697,0.2297,0.0122,0.1735,0.2697
71,0.2704,0.2305,0.0121,0.1735,0.2704
72,0.2787,0.2311,0.0122,0.1776,0.2787
73,0.2787,0.2317,0.0122,0.1695,0.2787
74,0.2787,0.2323,0.0123,0.1638,0.2787
75,0.2787,0.2329,0.0123,0.1768,0.2787
76,0.2787,0.2336,0.0123,0.1817,0.2787
77,0.2787,0.2342,0.0123,0.1727,0.2787
78,0.2787,0.2348,0.0123,0.1711,0.2787
79,0.2795,0.2352,0.0123,0.1695,0.2795
80,0.2795,0.2358,0.0124,0.1817,0.2795
81,0.2795,0.2363,0.0124,0.1768,0.2795
82,0.2795,0.2367,0.0124,0.1735,0.2795
83,0.2802,0.2372,0.0123,0.1825,0.2802
84,0.2802,0.2375,0.0122,0.1743,0.2802
85,0.2802,0.238,0.0122,0.1817,0.2802
86,0.2802,0.2384,0.0122,0.1768,0.2802
87,0.2827,0.2389,0.0121,0.1824,0.2827
88,0.2827,0.2393,0.0121,0.1784,0.2827
89,0.2827,0.2397,0.0122,0.1792,0.2827
90,0.2827,0.2401,0.0122,0.1849,0.2827
91,0.2876,0.2405,0.0121,0.1759,0.2876
92,0.2876,0.2409,0.0121,0.1785,0.2876
93,0.2876,0.2413,0.0121,0.1824,0.2876
94,0.2876,0.2418,0.0121,0.1809,0.2876
95,0.2876,0.2421,0.0119,0.176,0.2876
96,0.2876,0.2425,0.0118,0.1743,0.2876
97,0.2876,0.243,0.0118,0.1857,0.2876
98,0.2876,0.2433,0.0117,0.1947,0.2876
99,0.2901,0.2435,0.0119,0.1776,0.2901
100,0.2901,0.2439,0.0118,0.1824,0.2901
101,0.2901,0.2442,0.0118,0.1824,0.2901
102,0.2901,0.2446,0.0118,0.1947,0.2901
103,0.2901,0.2449,0.0117,0.1801,0.2901
104,0.2901,0.2453,0.0117,0.1865,0.2901
105,0.2901,0.2455,0.0117,0.184,0.2901
106,0.2901,0.2459,0.0115,0.189,0.2901
107,0.2901,0.2461,0.0116,0.1792,0.2901
108,0.2901,0.2464,0.0116,0.1743,0.2901
109,0.2901,0.2466,0.0116,0.1792,0.2901
110,0.2901,0.2469,0.0116,0.1784,0.2901
111,0.2901,0.2471,0.0116,0.1792,0.2901
112,0.2901,0.2473,0.0117,0.193,0.2901
113,0.2901,0.2475,0.0117,0.1914,0.2901
114,0.2901,0.2477,0.0118,0.1898,0.2901
115,0.2901,0.2479,0.0117,0.1906,0.2901
116,0.2901,0.2482,0.0118,0.1938,0.2901
117,0.2901,0.2484,0.0118,0.1906,0.2901
118,0.2901,0.2487,0.012,0.1898,0.2901
119,0.2901,0.249,0.012,0.1947,0.2901
120,0.2901,0.2492,0.0121,0.1824,0.2901
121,0.2901,0.2496,0.012,0.1971,0.2901
122,0.2908,0.2499,0.0121,0.1898,0.2908
123,0.2908,0.2502,0.012,0.189,0.2908
124,0.2916,0.2505,0.0122,0.1907,0.2916
125,0.2932,0.2507,0.0124,0.1849,0.2932
126,0.2932,0.2511,0.0122,0.1914,0.2932
127,0.2949,0.2513,0.0124,0.193,0.2949
128,0.2949,0.2515,0.0125,0.1971,0.2949
129,0.2982,0.2516,0.0125,0.1938,0.2982
130,0.2982,0.2519,0.0124,0.193,0.2982
131,0.2982,0.2521,0.0126,0.1938,0.2982
132,0.2982,0.2523,0.0124,0.1938,0.2982
133,0.2982,0.2527,0.0125,0.2044,0.2982
134,0.2982,0.2528,0.0126,0.1873,0.2982
135,0.2982,0.2532,0.0126,0.193,0.2982
136,0.2982,0.2534,0.0127,0.1955,0.2982
137,0.2982,0.2535,0.0128,0.1898,0.2982
138,0.2982,0.2538,0.0128,0.198,0.2982
139,0.2982,0.254,0.0127,0.1939,0.2982
140,0.2982,0.2542,0.0128,0.1955,0.2982
141,0.299,0.2545,0.0127,0.1915,0.299
142,0.299,0.2546,0.0127,0.1915,0.299
143,0.299,0.2549,0.0126,0.2012,0.299
144,0.3022,0.2551,0.0126,0.1954,0.3022
145,0.303,0.2554,0.0126,0.2004,0.303
146,0.303,0.2555,0.0127,0.1906,0.303
147,0.303,0.2556,0.0128,0.1923,0.303
148,0.303,0.256,0.0128,0.198,0.303
149,0.303,0.2562,0.0128,0.189,0.303
150,0.303,0.2564,0.0128,0.2012,0.303
151,0.303,0.2566,0.0129,0.1923,0.303
152,0.303,0.2567,0.0128,0.1857,0.303
153,0.303,0.2569,0.0128,0.1923,0.303
154,0.303,0.2571,0.0128,0.2004,0.303
155,0.303,0.2573,0.0127,0.2037,0.303
156,0.303,0.2574,0.0128,0.1971,0.303
157,0.303,0.2576,0.0127,0.1939,0.303
158,0.303,0.2576,0.0127,0.1996,0.303
159,0.303,0.2579,0.0127,0.1873,0.303
160,0.303,0.258,0.0129,0.1947,0.303
161,0.303,0.2582,0.013,0.1923,0.303
162,0.303,0.2583,0.0129,0.189,0.303
163,0.303,0.2585,0.0129,0.2053,0.303
164,0.303,0.2586,0.0129,0.2021,0.303
165,0.3038,0.2588,0.0129,0.1988,0.3038
166,0.3038,0.2588,0.0129,0.2021,0.3038
167,0.3038,0.2589,0.013,0.2004,0.3038
168,0.3038,0.2591,0.013,0.1996,0.3038
169,0.3038,0.2592,0.013,0.2004,0.3038
170,0.3071,0.2594,0.013,0.2044,0.3071
171,0.3071,0.2596,0.013,0.1938,0.3071
172,0.3071,0.2598,0.013,0.1996,0.3071
173,0.3071,0.2599,0.013,0.1988,0.3071
174,0.3071,0.2599,0.013,0.1996,0.3071
175,0.3071,0.26,0.013,0.1939,0.3071
176,0.3071,0.2601,0.013,0.1971,0.3071
177,0.3071,0.2603,0.0131,0.2037,0.3071
178,0.3071,0.2604,0.0132,0.1979,0.3071
179,0.3071,0.2605,0.0133,0.2077,0.3071
180,0.3071,0.2605,0.0132,0.2077,0.3071
181,0.3071,0.2606,0.0132,0.2012,0.3071
182,0.3071,0.2607,0.0133,0.1971,0.3071
183,0.3071,0.2606,0.0134,0.1963,0.3071
184,0.3071,0.2608,0.0134,0.2061,0.3071
185,0.3071,0.2611,0.0132,0.2069,0.3071
186,0.3071,0.2611,0.0132,0.2012,0.3071
187,0.3071,0.2612,0.0133,0.2013,0.3071
188,0.3071,0.2614,0.0133,0.1996,0.3071
189,0.3071,0.2615,0.0133,0.2029,0.3071
190,0.3071,0.2617,0.0133,0.1971,0.3071
191,0.3071,0.2618,0.0133,0.2053,0.3071
192,0.3071,0.262,0.0133,0.2037,0.3071
193,0.3071,0.262,0.0134,0.1988,0.3071
194,0.3071,0.2623,0.0134,0.1979,0.3071
195,0.3071,0.2622,0.0135,0.2061,0.3071
196,0.3071,0.2624,0.0134,0.2094,0.3071
197,0.3071,0.2625,0.0135,0.1865,0.3071
198,0.3071,0.2626,0.0136,0.202,0.3071
199,0.3071,0.2627,0.0135,0.2102,0.3071
200,0.3071,0.2627,0.0135,0.2069,0.3071
201,0.3071,0.2629,0.0134,0.2061,0.3071
202,0.3071,0.2629,0.0135,0.2037,0.3071
203,0.3071,0.2627,0.0134,0.1938,0.3071
204,0.3071,0.2626,0.0135,0.2004,0.3071
205,0.3071,0.2625,0.0134,0.2086,0.3071
206,0.3071,0.2625,0.0136,0.211,0.3071
207,0.3104,0.2627,0.0135,0.2044,0.3104
208,0.3104,0.2627,0.0136,0.2045,0.3104
209,0.3104,0.2628,0.0135,0.1963,0.3104
210,0.3104,0.2629,0.0135,0.2102,0.3104
211,0.3104,0.2631,0.0134,0.2044,0.3104
212,0.3104,0.2631,0.0135,0.2029,0.3104
213,0.3104,0.2632,0.0134,0.2126,0.3104
214,0.3104,0.2631,0.0134,0.2037,0.3104
