Generation,Mean,Std,Min,Max
1,-0.0397,0.0032,-0.0475,-0.0278
2,-0.0439,0.0028,-0.0499,-0.0278
3,-0.046,0.0025,-0.0524,-0.0278
4,-0.0471,0.0025,-0.0532,-0.0278
5,-0.0477,0.0024,-0.0524,-0.0278
6,-0.048,0.0024,-0.0548,-0.0278
7,-0.0484,0.0024,-0.0548,-0.0278
8,-0.0486,0.0025,-0.0532,-0.0278
9,-0.0487,0.0025,-0.054,-0.0278
10,-0.0487,0.0025,-0.0548,-0.0278
11,-0.0486,0.0024,-0.054,-0.0278
12,-0.0485,0.0026,-0.054,-0.0278
13,-0.0484,0.0026,-0.054,-0.0278
14,-0.0481,0.0026,-0.054,-0.0278
15,-0.048,0.0026,-0.0532,-0.0278
16,-0.0478,0.0027,-0.054,-0.0278
17,-0.0474,0.0026,-0.0524,-0.0278
18,-0.0473,0.0027,-0.0532,-0.0278
19,-0.047,0.0026,-0.0524,-0.0278
20,-0.0467,0.0027,-0.0524,-0.0278
21,-0.0463,0.0027,-0.0524,-0.0278
22,-0.046,0.0025,-0.0532,-0.0278
23,-0.0457,0.0026,-0.0516,-0.0278
24,-0.0455,0.0025,-0.0516,-0.0278
25,-0.0453,0.0026,-0.0516,-0.0278
26,-0.045,0.0026,-0.0507,-0.0278
27,-0.0447,0.0025,-0.0499,-0.0278
28,-0.0446,0.0026,-0.0507,-0.0278
29,-0.0444,0.0025,-0.0507,-0.0278
30,-0.0442,0.0025,-0.0507,-0.0278
31,-0.0439,0.0025,-0.0516,-0.0278
32,-0.0438,0.0024,-0.0491,-0.0278
33,-0.0437,0.0025,-0.0499,-0.0278
34,-0.0434,0.0026,-0.0507,-0.0278
35,-0.0432,0.0026,-0.0491,-0.0278
36,-0.043,0.0026,-0.0499,-0.0278
37,-0.0426,0.0025,-0.0483,-0.0278
38,-0.0425,0.0026,-0.0491,-0.0278
39,-0.042,0.0026,-0.0491,-0.0278
40,-0.0416,0.0027,-0.0483,-0.0278
41,-0.0413,0.0028,-0.0491,-0.0278
42,-0.0409,0.0027,-0.0466,-0.0278
43,-0.0405,0.0027,-0.0475,-0.0278
44,-0.0401,0.0028,-0.0475,-0.0278
45,-0.0397,0.0028,-0.0466,-0.0278
46,-0.0393,0.0026,-0.0458,-0.0278
47,-0.0392,0.0027,-0.0458,-0.0278
48,-0.0389,0.0026,-0.045,-0.0278
49,-0.0388,0.0026,-0.0458,-0.0278
50,-0.0386,0.0026,-0.045,-0.0278
51,-0.0385,0.0024,-0.0458,-0.0278
52,-0.0382,0.0024,-0.0434,-0.0278
53,-0.0379,0.0025,-0.0442,-0.0278
54,-0.0378,0.0027,-0.0434,-0.0278
55,-0.0375,0.0026,-0.0434,-0.0278
56,-0.0374,0.0025,-0.0442,-0.0278
57,-0.0373,0.0025,-0.0442,-0.0278
58,-0.037,0.0025,-0.0442,-0.0278
59,-0.0366,0.0024,-0.0434,-0.0278
60,-0.0365,0.0024,-0.0442,-0.0278
61,-0.0364,0.0024,-0.0426,-0.0278
62,-0.0364,0.0023,-0.0434,-0.0278
63,-0.0363,0.0024,-0.0426,-0.0278
64,-0.0361,0.0024,-0.0442,-0.0278
65,-0.0359,0.0026,-0.0417,-0.027
66,-0.0358,0.0026,-0.0434,-0.027
67,-0.0357,0.0025,-0.0426,-0.027
68,-0.0354,0.0025,-0.0417,-0.027
69,-0.0352,0.0025,-0.0417,-0.027
70,-0.0351,0.0025,-0.0409,-0.0262
71,-0.0348,0.0025,-0.0417,-0.0262
72,-0.0345,0.0025,-0.0401,-0.0262
73,-0.0343,0.0024,-0.0409,-0.0262
74,-0.0341,0.0025,-0.0409,-0.0262
75,-0.034,0.0025,-0.0401,-0.0262
76,-0.0336,0.0026,-0.0401,-0.0213
77,-0.0336,0.0026,-0.0417,-0.0213
78,-0.0335,0.0025,-0.0417,-0.0213
79,-0.0333,0.0025,-0.0409,-0.0213
80,-0.0332,0.0024,-0.0401,-0.0213
81,-0.033,0.0025,-0.0401,-0.0213
82,-0.0329,0.0025,-0.0385,-0.0213
83,-0.0328,0.0025,-0.0401,-0.0213
84,-0.0328,0.0024,-0.0393,-0.0213
85,-0.0328,0.0024,-0.0393,-0.0213
86,-0.0327,0.0026,-0.0401,-0.0213
87,-0.0326,0.0025,-0.0385,-0.0213
88,-0.0323,0.0026,-0.0393,-0.0205
89,-0.0321,0.0026,-0.0385,-0.0205
90,-0.032,0.0025,-0.0385,-0.0205
91,-0.0319,0.0028,-0.0409,-0.0205
92,-0.0318,0.0027,-0.0376,-0.0205
93,-0.0315,0.0027,-0.0376,-0.0196
94,-0.0314,0.0026,-0.0393,-0.0196
95,-0.0312,0.0026,-0.0385,-0.0196
96,-0.0311,0.0025,-0.0385,-0.0196
97,-0.0309,0.0025,-0.0385,-0.0196
98,-0.0311,0.0024,-0.0368,-0.0196
99,-0.0312,0.0024,-0.0376,-0.0196
100,-0.0313,0.0025,-0.0376,-0.0196
101,-0.0312,0.0024,-0.0376,-0.0196
102,-0.0313,0.0025,-0.0385,-0.0196
103,-0.0312,0.0024,-0.0368,-0.0196
104,-0.0312,0.0026,-0.0393,-0.0196
105,-0.0311,0.0027,-0.0401,-0.0196
106,-0.031,0.0025,-0.0376,-0.0196
107,-0.0308,0.0025,-0.0376,-0.0196
108,-0.0309,0.0025,-0.0401,-0.0196
109,-0.0308,0.0025,-0.0376,-0.0196
110,-0.0309,0.0025,-0.0385,-0.0196
111,-0.0308,0.0025,-0.0376,-0.0196
112,-0.0308,0.0024,-0.0385,-0.0196
113,-0.0306,0.0025,-0.0385,-0.0196
114,-0.0306,0.0025,-0.0376,-0.0196
115,-0.0306,0.0025,-0.0376,-0.0196
116,-0.0304,0.0026,-0.0385,-0.0196
117,-0.0303,0.0025,-0.0368,-0.0196
118,-0.0302,0.0026,-0.0368,-0.018
119,-0.0303,0.0025,-0.0376,-0.018
120,-0.0301,0.0026,-0.036,-0.018
121,-0.03,0.0026,-0.036,-0.018
122,-0.0299,0.0025,-0.0385,-0.018
123,-0.0298,0.0025,-0.0368,-0.018
124,-0.0297,0.0025,-0.036,-0.018
125,-0.0296,0.0025,-0.0352,-0.018
126,-0.0295,0.0025,-0.036,-0.018
