Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
-0.001,0.0052,0.0059,0.0072,0.0082,0.0062,-0.0295
-0.0003,0.0052,0.0059,0.0079,0.0082,0.0062,-0.0295
-0.0003,0.0059,0.0059,0.0079,0.0088,0.0062,-0.0295
-0.0003,0.0059,0.0069,0.0079,0.0088,0.0062,-0.0295
0.0,0.0062,0.0069,0.0079,0.0088,0.0065,-0.0295
0.0,0.0062,0.0069,0.0079,0.0095,0.0065,-0.0295
0.0007,0.0079,0.0069,0.0079,0.0095,0.0075,-0.0295
0.0007,0.0079,0.0075,0.0079,0.0095,0.0075,-0.0295
0.0007,0.0079,0.0075,0.0079,0.0095,0.0079,-0.0295
0.0007,0.0079,0.0075,0.0079,0.0095,0.0079,-0.0295
0.0013,0.0079,0.0075,0.0079,0.0095,0.0079,-0.0295
0.0013,0.0079,0.0075,0.0079,0.0095,0.0079,-0.0295
0.0013,0.0079,0.0075,0.0079,0.0095,0.0079,-0.0295
0.0013,0.0079,0.0075,0.0079,0.0095,0.0079,-0.0295
0.0013,0.0082,0.0075,0.0079,0.0095,0.0079,-0.0295
0.0013,0.0082,0.0075,0.0079,0.0095,0.0079,-0.0295
0.0013,0.0082,0.0075,0.0079,0.0095,0.0079,-0.0295
0.0013,0.0082,0.0075,0.0079,0.0095,0.0092,-0.0295
0.0016,0.0082,0.0075,0.0079,0.0095,0.0092,-0.0295
0.0016,0.0082,0.0075,0.0079,0.0095,0.0092,-0.0295
0.002,0.0082,0.0075,0.0085,0.0098,0.0092,-0.0295
0.0023,0.0082,0.0079,0.0085,0.0098,0.0092,-0.0295
0.0023,0.0082,0.0079,0.0085,0.0098,0.0092,-0.0295
0.0023,0.0082,0.0079,0.0085,0.0098,0.0092,-0.0295
0.0023,0.0082,0.0079,0.0085,0.0098,0.0092,-0.0295
0.0026,0.0082,0.0082,0.0085,0.0098,0.0092,-0.0295
0.0026,0.0082,0.0082,0.0085,0.0098,0.0092,-0.0295
0.0026,0.0082,0.0082,0.0085,0.0098,0.0092,-0.0295
0.0026,0.0082,0.0082,0.0085,0.0101,0.0092,-0.0295
0.0026,0.0082,0.0082,0.0085,0.0101,0.0092,-0.0295
0.0026,0.0082,0.0085,0.0085,0.0108,0.0092,-0.0295
0.0026,0.0085,0.0085,0.0085,0.0108,0.0092,-0.0295
0.0026,0.0085,0.0085,0.0085,0.0108,0.0092,-0.0295
0.0026,0.0085,0.0085,0.0085,0.0108,0.0092,-0.0295
0.0029,0.0085,0.0085,0.0085,0.0108,0.0101,-0.0295
0.0029,0.0085,0.0085,0.0085,0.0108,0.0101,-0.0295
0.0029,0.0085,0.0085,0.0085,0.0108,0.0101,-0.0295
0.0039,0.0085,0.0085,0.0085,0.0108,0.0101,-0.0295
0.0039,0.0085,0.0085,0.0085,0.0108,0.0101,-0.0295
0.0039,0.0085,0.0085,0.0085,0.0108,0.0101,-0.0295
0.0039,0.0088,0.0085,0.0085,0.0108,0.0101,-0.0295
0.0039,0.0088,0.0085,0.0098,0.0108,0.0101,-0.0295
0.0039,0.0088,0.0085,0.0098,0.0108,0.0101,-0.0295
0.0039,0.0088,0.0088,0.0098,0.0108,0.0101,-0.0295
0.0039,0.0088,0.0088,0.0098,0.0108,0.0101,-0.0295
0.0043,0.0088,0.0088,0.0098,0.0108,0.0101,-0.0295
0.0043,0.0088,0.0088,0.0098,0.0108,0.0101,-0.0295
0.0043,0.0088,0.0088,0.0098,0.0108,0.0101,-0.0295
0.0043,0.0088,0.0088,0.0098,0.0121,0.0101,-0.0295
