Generation,Mean,Std,Min,Max
1,-0.0376,0.0022,-0.0439,-0.0272
2,-0.0367,0.0021,-0.0416,-0.0272
3,-0.036,0.0021,-0.0429,-0.0272
4,-0.0354,0.0021,-0.0406,-0.0265
5,-0.0348,0.0021,-0.0412,-0.0245
6,-0.0342,0.002,-0.0403,-0.0245
7,-0.0339,0.002,-0.0403,-0.0245
8,-0.0334,0.002,-0.0406,-0.0245
9,-0.0329,0.0021,-0.0406,-0.0245
10,-0.0322,0.0021,-0.0399,-0.0236
11,-0.0317,0.002,-0.0396,-0.0236
12,-0.0311,0.002,-0.0383,-0.0236
13,-0.0305,0.0019,-0.0367,-0.0236
14,-0.0299,0.002,-0.0354,-0.0232
15,-0.0294,0.002,-0.037,-0.0216
16,-0.0288,0.002,-0.0354,-0.0213
17,-0.0282,0.002,-0.0357,-0.016
18,-0.0276,0.0022,-0.0357,-0.016
19,-0.0268,0.0021,-0.0334,-0.016
20,-0.0262,0.0022,-0.036,-0.016
21,-0.0256,0.0022,-0.0327,-0.016
22,-0.0248,0.0024,-0.0308,-0.0154
23,-0.0241,0.0024,-0.0291,-0.0144
24,-0.0233,0.0025,-0.0291,-0.0144
25,-0.0223,0.0026,-0.0314,-0.0144
26,-0.0215,0.0026,-0.0282,-0.0115
27,-0.0206,0.0026,-0.0265,-0.0108
28,-0.0197,0.0026,-0.0265,-0.0085
29,-0.0188,0.0027,-0.0262,-0.0085
30,-0.0178,0.0027,-0.0265,-0.0085
31,-0.0168,0.0026,-0.0242,-0.0085
32,-0.0158,0.0025,-0.0229,-0.0072
33,-0.015,0.0025,-0.0219,-0.0049
34,-0.0144,0.0025,-0.0209,-0.0043
35,-0.0136,0.0026,-0.0203,-0.0013
36,-0.0127,0.0027,-0.0203,-0.0013
37,-0.012,0.0028,-0.02,-0.0013
38,-0.0111,0.0028,-0.0193,-0.0013
39,-0.0104,0.0027,-0.0187,-0.0013
40,-0.0095,0.0026,-0.0164,-0.0013
41,-0.0088,0.0026,-0.0157,0.0003
42,-0.0081,0.0028,-0.0151,0.0029
43,-0.0073,0.0028,-0.016,0.0029
44,-0.0065,0.0027,-0.0128,0.0029
45,-0.0059,0.0026,-0.0134,0.0029
46,-0.0052,0.0026,-0.0128,0.0029
47,-0.0045,0.0027,-0.0118,0.0029
48,-0.0039,0.0027,-0.0121,0.0039
49,-0.0034,0.0027,-0.0105,0.0039
50,-0.0028,0.0026,-0.0095,0.0056
51,-0.0024,0.0025,-0.0092,0.0056
52,-0.0021,0.0024,-0.0092,0.0056
53,-0.0016,0.0024,-0.0088,0.0056
54,-0.0012,0.0025,-0.0082,0.0056
55,-0.0008,0.0024,-0.0072,0.0056
56,-0.0004,0.0024,-0.0069,0.0056
57,0.0,0.0023,-0.0069,0.0059
58,0.0004,0.0023,-0.0079,0.0059
59,0.0007,0.0022,-0.0049,0.0069
60,0.0011,0.0022,-0.0062,0.0072
61,0.0014,0.0022,-0.0049,0.0072
62,0.0016,0.0022,-0.0052,0.0072
63,0.0018,0.0022,-0.0056,0.0072
64,0.002,0.002,-0.0056,0.0072
65,0.002,0.0022,-0.0052,0.0072
66,0.0023,0.0021,-0.0056,0.0075
67,0.0025,0.0021,-0.0052,0.0075
68,0.0026,0.0019,-0.0036,0.0075
69,0.0027,0.0019,-0.0046,0.0075
70,0.0026,0.0019,-0.0036,0.0075
71,0.0026,0.002,-0.0056,0.0075
72,0.0025,0.0019,-0.0036,0.0075
73,0.0027,0.002,-0.0033,0.0075
74,0.0028,0.002,-0.0043,0.0075
75,0.0029,0.0019,-0.0043,0.0079
76,0.0028,0.002,-0.0056,0.0079
77,0.0029,0.0019,-0.0046,0.0079
78,0.003,0.0019,-0.0036,0.0079
79,0.0031,0.0019,-0.0033,0.0079
80,0.003,0.002,-0.0039,0.0082
81,0.0032,0.0019,-0.0033,0.0082
82,0.0032,0.002,-0.0023,0.0088
83,0.0034,0.002,-0.0043,0.0088
84,0.0034,0.0022,-0.0036,0.0088
85,0.0036,0.0021,-0.0029,0.0095
86,0.0038,0.002,-0.0023,0.0095
87,0.0038,0.0019,-0.002,0.0095
88,0.0037,0.002,-0.0036,0.0095
89,0.0037,0.0019,-0.0026,0.0095
90,0.0038,0.0019,-0.0036,0.0095
91,0.0039,0.002,-0.0033,0.0095
92,0.004,0.0021,-0.0026,0.0095
93,0.004,0.0021,-0.0033,0.0095
94,0.0042,0.0019,-0.0026,0.0095
95,0.0044,0.002,-0.0016,0.0095
96,0.0045,0.002,-0.0033,0.0095
97,0.0045,0.0019,-0.001,0.0095
98,0.0046,0.0019,-0.0007,0.0095
99,0.0046,0.0019,-0.002,0.0095
100,0.0048,0.0019,-0.001,0.0098
101,0.0048,0.0019,-0.0023,0.0098
102,0.0047,0.002,-0.0016,0.0098
103,0.0048,0.002,-0.002,0.0098
104,0.0049,0.002,-0.0026,0.0098
105,0.0048,0.002,-0.0039,0.0098
106,0.0048,0.0021,-0.0023,0.0098
107,0.005,0.0019,-0.002,0.0098
108,0.0048,0.002,-0.0023,0.0101
109,0.0048,0.0019,-0.0023,0.0101
110,0.0048,0.002,-0.0029,0.0108
111,0.0047,0.002,-0.002,0.0108
112,0.0048,0.002,-0.0026,0.0108
113,0.0048,0.0019,-0.0033,0.0108
114,0.0049,0.002,-0.001,0.0108
115,0.0049,0.002,-0.0013,0.0108
116,0.0051,0.002,-0.0007,0.0108
117,0.005,0.0021,-0.0026,0.0108
118,0.0051,0.0019,-0.0016,0.0108
119,0.0051,0.002,-0.0016,0.0108
120,0.0053,0.0019,-0.001,0.0108
121,0.0054,0.002,-0.002,0.0108
122,0.0054,0.0019,-0.0033,0.0108
123,0.0055,0.0021,-0.0016,0.0108
124,0.0054,0.0019,-0.001,0.0108
125,0.0051,0.002,-0.0016,0.0108
126,0.005,0.002,-0.0016,0.0108
127,0.0049,0.0021,-0.0013,0.0108
128,0.0049,0.0022,-0.0013,0.0121
129,0.0049,0.0021,-0.0033,0.0121
130,0.005,0.0022,-0.0023,0.0121
131,0.0051,0.0022,-0.0033,0.0121
132,0.0053,0.0021,-0.0023,0.0121
133,0.0054,0.0021,-0.0023,0.0121
134,0.0053,0.002,-0.0007,0.0121
135,0.0053,0.002,-0.0013,0.0124
136,0.0053,0.0021,-0.002,0.0124
137,0.0053,0.0021,-0.0026,0.0124
138,0.0051,0.0022,-0.0007,0.0124
139,0.0052,0.002,-0.0016,0.0124
140,0.0051,0.0021,-0.0023,0.0124
141,0.0053,0.0021,-0.001,0.0124
142,0.0054,0.002,-0.0016,0.0124
143,0.0052,0.0021,-0.0013,0.0124
144,0.0052,0.0023,-0.0036,0.0124
145,0.0054,0.0021,-0.0013,0.0124
146,0.0053,0.0021,-0.0026,0.0124
147,0.0054,0.0023,-0.0036,0.0124
148,0.0053,0.0021,-0.0013,0.0124
149,0.0053,0.0021,-0.0016,0.0124
150,0.0054,0.0022,-0.0016,0.0124
151,0.0054,0.002,-0.0013,0.0124
152,0.0054,0.0022,-0.002,0.0124
153,0.0055,0.0021,-0.0016,0.0124
154,0.0056,0.0022,-0.0023,0.0124
155,0.0056,0.002,-0.0023,0.0124
156,0.0056,0.0021,-0.0007,0.0124
157,0.0056,0.002,-0.0003,0.0124
158,0.0057,0.0022,-0.002,0.0124
159,0.0056,0.0021,-0.0013,0.0124
160,0.0057,0.0021,-0.001,0.0124
161,0.0058,0.0021,-0.0003,0.0124
162,0.0057,0.0019,-0.0013,0.0124
163,0.0055,0.0021,-0.0016,0.0124
164,0.0056,0.0021,-0.0026,0.0124
165,0.0058,0.0022,-0.002,0.0124
166,0.0058,0.0022,-0.0033,0.0124
167,0.0057,0.0022,-0.0029,0.0124
168,0.0059,0.002,-0.001,0.0124
169,0.0059,0.0022,-0.0026,0.0124
170,0.0059,0.0021,-0.0013,0.0124
171,0.0057,0.0022,-0.0056,0.0124
172,0.0058,0.0023,-0.0039,0.0124
173,0.006,0.0022,-0.002,0.0124
174,0.006,0.0021,-0.0007,0.0124
175,0.0059,0.0021,-0.0007,0.0124
176,0.0057,0.0022,-0.0013,0.0124
177,0.0058,0.0022,-0.0013,0.0124
178,0.0059,0.0021,-0.002,0.0124
179,0.0059,0.002,-0.001,0.0124
180,0.0059,0.0021,-0.0013,0.0124
181,0.0059,0.0021,-0.0007,0.0124
182,0.0061,0.0021,-0.0013,0.0124
183,0.0061,0.002,-0.0003,0.0124
184,0.0061,0.002,-0.0016,0.0124
185,0.0061,0.0022,-0.0013,0.0124
186,0.0061,0.0021,-0.0013,0.0124
187,0.006,0.0021,-0.0003,0.0124
188,0.0061,0.0021,-0.0003,0.0124
189,0.006,0.0022,-0.0029,0.0124
190,0.0059,0.0023,-0.0016,0.0124
191,0.0059,0.0022,-0.001,0.0124
192,0.0059,0.0022,-0.0007,0.0124
193,0.006,0.0021,0.0003,0.0131
194,0.006,0.0023,-0.0016,0.0137
195,0.0061,0.0023,-0.001,0.0137
196,0.0063,0.0023,-0.001,0.0137
197,0.0063,0.0022,-0.001,0.0137
198,0.0063,0.0024,-0.0026,0.0137
199,0.0065,0.0024,-0.0029,0.0137
200,0.0065,0.0023,-0.001,0.0137
201,0.0064,0.0024,-0.0013,0.0137
202,0.0065,0.0023,-0.001,0.0137
203,0.0064,0.0024,-0.0013,0.0137
204,0.0064,0.0024,-0.0016,0.0137
205,0.0063,0.0024,-0.0013,0.0137
206,0.0063,0.0024,-0.0023,0.0137
207,0.0062,0.0024,-0.0007,0.0137
