Generation,Mean,Std,Min,Max
1,-0.0377,0.0022,-0.0448,-0.0255
2,-0.0369,0.0021,-0.0419,-0.0255
3,-0.0362,0.002,-0.0416,-0.0255
4,-0.0356,0.0021,-0.0406,-0.0255
5,-0.0349,0.002,-0.0406,-0.0255
6,-0.0343,0.0021,-0.0399,-0.0255
7,-0.0336,0.002,-0.0406,-0.0255
8,-0.0328,0.0021,-0.0386,-0.0255
9,-0.0321,0.002,-0.0376,-0.0255
10,-0.0312,0.002,-0.039,-0.0223
11,-0.0304,0.002,-0.0376,-0.0223
12,-0.0297,0.0021,-0.0354,-0.0219
13,-0.0287,0.002,-0.0337,-0.0219
14,-0.0279,0.002,-0.0363,-0.0219
15,-0.0271,0.002,-0.034,-0.0213
16,-0.0263,0.002,-0.0308,-0.019
17,-0.0255,0.0019,-0.0301,-0.019
18,-0.0248,0.0019,-0.0295,-0.018
19,-0.0241,0.0018,-0.0288,-0.0167
20,-0.0234,0.0018,-0.0282,-0.0167
21,-0.0228,0.0018,-0.0272,-0.0167
22,-0.0222,0.0018,-0.0278,-0.0151
23,-0.0216,0.0019,-0.0259,-0.0137
24,-0.021,0.002,-0.0262,-0.0137
25,-0.0203,0.0021,-0.0255,-0.0137
26,-0.0196,0.0021,-0.0242,-0.0137
27,-0.0189,0.0023,-0.0245,-0.0128
28,-0.018,0.0021,-0.0239,-0.0095
29,-0.0172,0.0021,-0.0219,-0.0095
30,-0.0164,0.002,-0.0232,-0.0088
31,-0.0158,0.002,-0.0219,-0.0088
32,-0.0151,0.002,-0.0226,-0.0082
33,-0.0144,0.0019,-0.0193,-0.0082
34,-0.0138,0.0019,-0.02,-0.0082
35,-0.0133,0.0019,-0.0193,-0.0072
36,-0.0129,0.0019,-0.0183,-0.0072
37,-0.0123,0.002,-0.0183,-0.0069
38,-0.0118,0.0019,-0.0167,-0.0065
39,-0.0114,0.0019,-0.0167,-0.0052
40,-0.0109,0.002,-0.016,-0.0052
41,-0.0105,0.0019,-0.016,-0.0046
42,-0.01,0.002,-0.0157,-0.0039
43,-0.0095,0.0019,-0.0147,-0.0033
44,-0.0091,0.0019,-0.0144,-0.0033
45,-0.0087,0.0019,-0.0147,-0.0026
46,-0.0084,0.002,-0.0137,-0.0023
47,-0.008,0.0019,-0.0131,-0.002
48,-0.0077,0.002,-0.0134,-0.002
49,-0.0074,0.002,-0.0131,-0.0013
50,-0.007,0.002,-0.0124,-0.001
51,-0.0066,0.0019,-0.0121,-0.001
52,-0.0063,0.0019,-0.0124,-0.001
53,-0.0059,0.0019,-0.0118,-0.001
54,-0.0056,0.0019,-0.0108,-0.0003
55,-0.0053,0.0019,-0.0108,0.0003
56,-0.005,0.0018,-0.0105,0.0003
57,-0.0046,0.0019,-0.0098,0.0007
58,-0.0044,0.0019,-0.0118,0.0029
59,-0.0041,0.0019,-0.0092,0.0029
60,-0.0039,0.0018,-0.0095,0.0029
61,-0.0037,0.0019,-0.0085,0.0029
62,-0.0035,0.002,-0.0092,0.0033
63,-0.0032,0.002,-0.0082,0.0033
64,-0.0028,0.0019,-0.0092,0.0033
65,-0.0026,0.0019,-0.0085,0.0033
66,-0.0024,0.0019,-0.0072,0.0033
67,-0.0021,0.0018,-0.0075,0.0033
68,-0.0019,0.0018,-0.0079,0.0033
69,-0.0017,0.0017,-0.0062,0.0033
70,-0.0014,0.0017,-0.0059,0.0043
71,-0.0013,0.0018,-0.0065,0.0043
72,-0.0011,0.0018,-0.0069,0.0052
73,-0.0011,0.0019,-0.0075,0.0052
74,-0.0009,0.0018,-0.0056,0.0052
75,-0.0007,0.0018,-0.0056,0.0052
76,-0.0005,0.0019,-0.0052,0.0052
77,-0.0004,0.0019,-0.0062,0.0052
78,-0.0002,0.0018,-0.0056,0.0056
79,-0.0001,0.0018,-0.0046,0.0062
80,0.0001,0.0019,-0.0049,0.0062
81,0.0002,0.002,-0.0052,0.0062
82,0.0006,0.0019,-0.0046,0.0062
83,0.0007,0.0019,-0.0049,0.0062
84,0.0008,0.0019,-0.0043,0.0065
85,0.001,0.0019,-0.0033,0.0065
86,0.0011,0.002,-0.0049,0.0075
87,0.0014,0.0018,-0.0046,0.0075
88,0.0015,0.0018,-0.0043,0.0079
89,0.0016,0.0019,-0.0043,0.0079
90,0.0017,0.0019,-0.0043,0.0079
91,0.0019,0.0019,-0.0036,0.0079
92,0.0021,0.002,-0.0039,0.0079
93,0.0023,0.0019,-0.0036,0.0079
94,0.0024,0.0019,-0.0026,0.0079
95,0.0026,0.0019,-0.0033,0.0079
96,0.0027,0.0019,-0.0029,0.0079
97,0.0029,0.0018,-0.0023,0.0092
98,0.0029,0.002,-0.0026,0.0092
99,0.003,0.0019,-0.0023,0.0092
100,0.0031,0.0019,-0.0029,0.0092
101,0.0032,0.0019,-0.002,0.0092
102,0.0034,0.0019,-0.0013,0.0092
103,0.0035,0.0019,-0.0029,0.0092
104,0.0036,0.0018,-0.0016,0.0092
105,0.0036,0.0019,-0.002,0.0092
106,0.0038,0.0019,-0.0013,0.0092
107,0.0039,0.0019,-0.0016,0.0092
108,0.004,0.0018,-0.001,0.0092
109,0.0041,0.0017,-0.001,0.0092
110,0.0042,0.0018,-0.0013,0.0092
111,0.0042,0.0018,-0.001,0.0092
112,0.0042,0.0018,-0.0013,0.0092
113,0.0043,0.0017,-0.0007,0.0092
114,0.0042,0.0019,-0.001,0.0101
115,0.0044,0.0018,-0.0013,0.0101
116,0.0044,0.0017,-0.0013,0.0101
117,0.0045,0.0017,0.0,0.0101
118,0.0045,0.0018,-0.0013,0.0101
119,0.0045,0.0018,-0.0007,0.0101
120,0.0044,0.0019,-0.001,0.0101
121,0.0045,0.0018,0.0,0.0101
122,0.0046,0.0018,-0.002,0.0101
123,0.0047,0.0018,-0.0003,0.0101
124,0.0047,0.0019,-0.0013,0.0101
125,0.0048,0.0018,-0.0003,0.0101
126,0.0049,0.0019,-0.0013,0.0101
127,0.0051,0.0018,-0.0007,0.0101
128,0.0052,0.0017,0.0,0.0101
129,0.0052,0.0016,0.0003,0.0101
130,0.0052,0.0017,0.0,0.0101
131,0.0052,0.0017,0.0003,0.0101
132,0.0052,0.0017,-0.0003,0.0101
133,0.0052,0.0017,-0.001,0.0101
134,0.0051,0.0017,0.0,0.0101
135,0.0051,0.0017,0.0,0.0101
136,0.005,0.0017,0.0007,0.0101
137,0.005,0.0018,0.0,0.0101
138,0.0051,0.0017,0.0003,0.0101
139,0.0052,0.0017,-0.0007,0.0101
140,0.0051,0.0017,0.0,0.0101
141,0.0052,0.0017,0.0,0.0101
142,0.0053,0.0018,-0.0003,0.0101
143,0.0053,0.0017,0.001,0.0101
144,0.0053,0.0017,-0.0003,0.0101
145,0.0053,0.0017,-0.0013,0.0101
146,0.0054,0.0017,-0.0003,0.0101
147,0.0054,0.0018,-0.0003,0.0101
148,0.0053,0.0018,-0.001,0.0101
149,0.0053,0.0018,0.0,0.0101
150,0.0053,0.0018,-0.001,0.0101
151,0.0055,0.0017,0.0,0.0101
152,0.0055,0.0017,0.0,0.0101
153,0.0054,0.0016,-0.0013,0.0101
154,0.0053,0.0017,0.0003,0.0101
155,0.0054,0.0017,-0.001,0.0101
156,0.0054,0.0017,0.0003,0.0101
157,0.0053,0.0017,0.0,0.0101
158,0.0053,0.0017,0.0,0.0101
159,0.0054,0.0018,-0.0003,0.0101
160,0.0053,0.0017,0.0,0.0101
161,0.0054,0.0017,0.0,0.0101
162,0.0055,0.0018,-0.001,0.0101
163,0.0055,0.0018,-0.0007,0.0101
164,0.0056,0.0018,0.0,0.0101
165,0.0057,0.0018,0.0,0.0101
166,0.0058,0.0018,0.0003,0.0101
167,0.0057,0.0017,0.0007,0.0101
168,0.0057,0.0018,0.0003,0.0101
169,0.0057,0.0017,-0.0007,0.0105
170,0.0056,0.0017,0.0003,0.0105
171,0.0055,0.0017,-0.001,0.0105
172,0.0057,0.0017,0.0,0.0105
