Generation,Mean,Std,Min,Max
1,-0.0375,0.0023,-0.0432,-0.0272
2,-0.0366,0.0021,-0.0419,-0.0272
3,-0.0361,0.002,-0.0409,-0.0272
4,-0.0355,0.002,-0.0409,-0.0272
5,-0.0349,0.0021,-0.0416,-0.0268
6,-0.0343,0.0021,-0.0406,-0.0239
7,-0.0337,0.0021,-0.0403,-0.0239
8,-0.0331,0.0021,-0.0393,-0.0239
9,-0.0326,0.002,-0.0383,-0.0239
10,-0.032,0.002,-0.0383,-0.0239
11,-0.0313,0.002,-0.0373,-0.0239
12,-0.0308,0.0023,-0.0376,-0.0219
13,-0.03,0.0022,-0.039,-0.0213
14,-0.0293,0.0021,-0.036,-0.0213
15,-0.0286,0.0022,-0.0363,-0.0193
16,-0.0278,0.0022,-0.0331,-0.0193
17,-0.027,0.0022,-0.0327,-0.0193
18,-0.0263,0.0022,-0.0314,-0.0193
19,-0.0255,0.0021,-0.0301,-0.0164
20,-0.0248,0.0021,-0.0311,-0.0154
21,-0.024,0.002,-0.0301,-0.0154
22,-0.0233,0.002,-0.0285,-0.0154
23,-0.0227,0.0021,-0.0291,-0.0154
24,-0.0221,0.0022,-0.0282,-0.0137
25,-0.0214,0.0021,-0.0268,-0.0137
26,-0.0207,0.0022,-0.0262,-0.0131
27,-0.02,0.0022,-0.0262,-0.0131
28,-0.0194,0.0022,-0.0242,-0.0111
29,-0.0187,0.0021,-0.0242,-0.0111
30,-0.0181,0.002,-0.0236,-0.0111
31,-0.0175,0.002,-0.0226,-0.0082
32,-0.017,0.0021,-0.0229,-0.0082
33,-0.0164,0.0021,-0.0229,-0.0082
34,-0.0157,0.0021,-0.0209,-0.0075
35,-0.0151,0.0022,-0.02,-0.0075
36,-0.0146,0.0022,-0.02,-0.0075
37,-0.0139,0.0021,-0.02,-0.0075
38,-0.0132,0.0021,-0.0183,-0.0072
39,-0.0127,0.0019,-0.0177,-0.0065
40,-0.0123,0.002,-0.0177,-0.0056
41,-0.0118,0.002,-0.017,-0.0056
42,-0.0112,0.0022,-0.017,-0.0056
43,-0.0106,0.002,-0.0164,-0.0043
44,-0.0101,0.002,-0.0154,-0.0039
45,-0.0097,0.002,-0.0151,-0.0039
46,-0.0093,0.0021,-0.0154,-0.0036
47,-0.0087,0.002,-0.0137,-0.0036
48,-0.0084,0.002,-0.0134,0.002
49,-0.0081,0.002,-0.0128,0.002
50,-0.0076,0.002,-0.0144,0.002
51,-0.0072,0.0021,-0.0147,0.002
52,-0.0068,0.002,-0.0128,0.002
53,-0.0064,0.002,-0.0121,0.002
54,-0.0061,0.0024,-0.0141,0.002
55,-0.0056,0.0024,-0.0121,0.002
