Generation,Mean,Std,Min,Max
1,-0.0376,0.0022,-0.0435,-0.0301
2,-0.0367,0.0021,-0.0426,-0.0249
3,-0.0361,0.0021,-0.0426,-0.0249
4,-0.0353,0.002,-0.0406,-0.0249
5,-0.0348,0.0021,-0.0426,-0.0249
6,-0.0342,0.0021,-0.0416,-0.0249
7,-0.0337,0.002,-0.039,-0.0239
8,-0.0331,0.002,-0.0406,-0.0239
9,-0.0324,0.0021,-0.0376,-0.0239
10,-0.0318,0.002,-0.037,-0.0239
11,-0.0311,0.002,-0.0367,-0.0236
12,-0.0305,0.002,-0.0367,-0.0236
13,-0.0299,0.002,-0.0367,-0.0232
14,-0.0293,0.0019,-0.0344,-0.0232
15,-0.0287,0.002,-0.0347,-0.0223
16,-0.028,0.002,-0.034,-0.0209
17,-0.0273,0.002,-0.0334,-0.0206
18,-0.0267,0.002,-0.0334,-0.0193
19,-0.0261,0.0019,-0.0318,-0.019
20,-0.0255,0.0019,-0.0321,-0.0187
21,-0.0248,0.0019,-0.0298,-0.0187
22,-0.0243,0.0019,-0.0295,-0.0183
23,-0.0237,0.002,-0.0295,-0.0167
24,-0.0231,0.0019,-0.0301,-0.0167
25,-0.0225,0.0021,-0.0288,-0.0147
26,-0.0219,0.0021,-0.0282,-0.0147
27,-0.0213,0.0021,-0.0285,-0.0134
28,-0.0206,0.0021,-0.0259,-0.0134
29,-0.0199,0.0022,-0.0259,-0.0118
30,-0.0193,0.0022,-0.0249,-0.0118
31,-0.0186,0.0022,-0.0245,-0.0115
32,-0.018,0.0021,-0.0229,-0.0115
33,-0.0175,0.002,-0.0239,-0.0101
34,-0.0169,0.0022,-0.0223,-0.0075
35,-0.0163,0.0022,-0.0213,-0.0075
36,-0.0156,0.0024,-0.0216,-0.0072
37,-0.015,0.0024,-0.0219,-0.0059
38,-0.0142,0.0024,-0.0209,-0.0056
39,-0.0135,0.0024,-0.0203,-0.0056
40,-0.0128,0.0023,-0.018,-0.0056
41,-0.0122,0.0024,-0.019,-0.0049
42,-0.0115,0.0024,-0.0183,-0.0046
