Generation,Mean,Std,Min,Max
1,-0.0395,0.0032,-0.0466,-0.0303
2,-0.0439,0.0027,-0.0507,-0.0303
3,-0.0463,0.0024,-0.0524,-0.0303
4,-0.0475,0.0023,-0.054,-0.0303
5,-0.0481,0.0023,-0.054,-0.0303
6,-0.0486,0.0023,-0.0548,-0.0303
7,-0.049,0.0022,-0.0548,-0.0303
8,-0.0493,0.0022,-0.0548,-0.0303
9,-0.0494,0.0022,-0.054,-0.0303
10,-0.0496,0.0023,-0.0556,-0.0303
11,-0.0495,0.0023,-0.054,-0.0303
12,-0.0495,0.0023,-0.054,-0.0303
13,-0.0496,0.0023,-0.0548,-0.0303
14,-0.0495,0.0024,-0.0548,-0.0303
15,-0.0494,0.0023,-0.054,-0.0303
16,-0.0492,0.0023,-0.054,-0.0303
17,-0.049,0.0024,-0.0548,-0.0303
18,-0.0488,0.0023,-0.0565,-0.0303
19,-0.0486,0.0022,-0.054,-0.0303
20,-0.0484,0.0022,-0.054,-0.0303
21,-0.0482,0.0023,-0.0532,-0.0303
22,-0.0478,0.0022,-0.0524,-0.0303
23,-0.0476,0.0023,-0.054,-0.0303
24,-0.0472,0.0023,-0.0532,-0.0303
25,-0.0467,0.0024,-0.0524,-0.0303
26,-0.0463,0.0023,-0.0524,-0.0303
27,-0.0458,0.0024,-0.0516,-0.0303
28,-0.0454,0.0024,-0.0507,-0.0303
29,-0.0448,0.0025,-0.0516,-0.0303
30,-0.0443,0.0025,-0.0499,-0.0303
31,-0.0437,0.0025,-0.0499,-0.0303
32,-0.0433,0.0024,-0.0491,-0.0303
33,-0.043,0.0024,-0.0491,-0.0303
34,-0.0426,0.0024,-0.0491,-0.0303
35,-0.0421,0.0023,-0.0491,-0.0303
36,-0.0417,0.0023,-0.0483,-0.0303
37,-0.0413,0.0024,-0.0499,-0.0303
38,-0.0408,0.0023,-0.0475,-0.0303
39,-0.0405,0.0023,-0.0458,-0.0303
40,-0.0401,0.0023,-0.0458,-0.0303
41,-0.0397,0.0022,-0.0475,-0.0303
42,-0.0394,0.0023,-0.0491,-0.0303
43,-0.039,0.0024,-0.0442,-0.0303
44,-0.0386,0.0024,-0.0458,-0.0303
45,-0.0382,0.0023,-0.0442,-0.0303
46,-0.0379,0.0022,-0.0434,-0.0303
47,-0.0376,0.0022,-0.0426,-0.0303
48,-0.0374,0.0022,-0.0426,-0.0303
49,-0.0372,0.0022,-0.0442,-0.0295
50,-0.0368,0.0021,-0.0417,-0.0295
51,-0.0364,0.0021,-0.0426,-0.0295
52,-0.0361,0.0021,-0.0417,-0.0286
53,-0.0359,0.0023,-0.0458,-0.0286
54,-0.0354,0.0022,-0.0417,-0.0286
55,-0.0351,0.0021,-0.0409,-0.0286
56,-0.0348,0.0021,-0.0409,-0.0262
57,-0.0346,0.0022,-0.0401,-0.0262
58,-0.0343,0.0021,-0.0393,-0.0262
59,-0.0341,0.0021,-0.0393,-0.0262
60,-0.0337,0.0022,-0.0393,-0.0262
61,-0.0333,0.0023,-0.0401,-0.0254
62,-0.0331,0.0024,-0.0401,-0.0254
63,-0.0326,0.0022,-0.0376,-0.0245
64,-0.0324,0.0024,-0.0393,-0.0245
65,-0.0319,0.0023,-0.0385,-0.0245
66,-0.0316,0.0024,-0.0385,-0.0229
67,-0.0311,0.0024,-0.0376,-0.0229
68,-0.0308,0.0023,-0.0376,-0.0229
69,-0.0305,0.0023,-0.036,-0.0213
70,-0.0301,0.0025,-0.0368,-0.0213
71,-0.0298,0.0023,-0.036,-0.0205
72,-0.0295,0.0023,-0.0352,-0.0205
73,-0.0293,0.0024,-0.0352,-0.0205
74,-0.029,0.0023,-0.0344,-0.0205
75,-0.0288,0.0023,-0.0344,-0.0205
76,-0.0286,0.0024,-0.0344,-0.0172
77,-0.0283,0.0025,-0.0336,-0.0172
78,-0.028,0.0026,-0.0344,-0.0172
79,-0.0276,0.0026,-0.0352,-0.0172
80,-0.0273,0.0025,-0.0336,-0.0172
81,-0.0269,0.0026,-0.0336,-0.0164
82,-0.0266,0.0026,-0.0336,-0.0147
83,-0.0263,0.0027,-0.0336,-0.0147
84,-0.0257,0.0028,-0.0319,-0.0147
85,-0.0254,0.0028,-0.0319,-0.0147
86,-0.0251,0.0029,-0.0319,-0.0139
87,-0.0248,0.0031,-0.0319,-0.0139
88,-0.0246,0.0029,-0.0303,-0.0139
89,-0.0244,0.003,-0.0319,-0.0139
90,-0.0243,0.0029,-0.0303,-0.0139
91,-0.0239,0.0031,-0.0327,-0.0131
92,-0.0235,0.0033,-0.0311,-0.0131
93,-0.0233,0.0033,-0.0311,-0.0131
94,-0.0229,0.0032,-0.0311,-0.0131
95,-0.0225,0.0032,-0.0311,-0.0131
96,-0.0221,0.0033,-0.0303,-0.0131
97,-0.0219,0.0033,-0.0303,-0.0123
98,-0.0218,0.0034,-0.0311,-0.0123
99,-0.0214,0.0036,-0.0311,-0.0106
100,-0.0209,0.0035,-0.0295,-0.0106
101,-0.0203,0.0034,-0.0295,-0.009
102,-0.0201,0.0034,-0.0311,-0.009
103,-0.0199,0.0032,-0.0303,-0.009
104,-0.02,0.0033,-0.0278,-0.009
105,-0.0198,0.0033,-0.0286,-0.009
106,-0.0195,0.0033,-0.0278,-0.009
107,-0.0192,0.0032,-0.0286,-0.009
108,-0.0192,0.0031,-0.0278,-0.009
109,-0.0192,0.0032,-0.0278,-0.009
110,-0.0191,0.0032,-0.027,-0.009
111,-0.0192,0.0031,-0.027,-0.009
112,-0.0191,0.0032,-0.0311,-0.009
113,-0.0189,0.003,-0.0286,-0.009
114,-0.0187,0.0032,-0.0303,-0.009
115,-0.0184,0.0032,-0.027,-0.009
116,-0.0183,0.0031,-0.0278,-0.009
117,-0.0182,0.0031,-0.0278,-0.009
118,-0.0182,0.0032,-0.027,-0.009
119,-0.0182,0.0032,-0.0286,-0.009
120,-0.0179,0.0031,-0.027,-0.009
121,-0.0178,0.0031,-0.027,-0.009
122,-0.0176,0.003,-0.027,-0.009
123,-0.0177,0.003,-0.0254,-0.009
124,-0.0175,0.0029,-0.0254,-0.009
125,-0.0175,0.0031,-0.0262,-0.0082
126,-0.0173,0.0033,-0.0262,-0.0074
127,-0.0171,0.0032,-0.0262,-0.0074
128,-0.0168,0.003,-0.0278,-0.0074
129,-0.0167,0.003,-0.0237,-0.0074
130,-0.0166,0.0029,-0.0262,-0.0074
131,-0.0164,0.003,-0.0262,-0.0065
132,-0.0166,0.0029,-0.0245,-0.0065
133,-0.0167,0.0029,-0.0245,-0.0065
134,-0.0168,0.0031,-0.0262,-0.0065
135,-0.0168,0.0031,-0.0254,-0.0065
136,-0.0167,0.0031,-0.0278,-0.0065
137,-0.0164,0.003,-0.0262,-0.0065
138,-0.0165,0.0031,-0.0262,-0.0065
139,-0.0164,0.0031,-0.027,-0.0065
140,-0.0163,0.003,-0.0254,-0.0065
141,-0.0165,0.003,-0.027,-0.0065
142,-0.0162,0.0029,-0.0254,-0.0065
143,-0.0161,0.0029,-0.0245,-0.0065
144,-0.0162,0.003,-0.0278,-0.0065
145,-0.0162,0.0031,-0.0254,-0.0065
146,-0.016,0.0031,-0.0245,-0.0065
147,-0.0158,0.003,-0.0237,-0.0065
148,-0.0158,0.003,-0.0254,-0.0065
149,-0.0157,0.0033,-0.0254,-0.0065
150,-0.0155,0.0031,-0.0245,-0.0057
151,-0.0157,0.0032,-0.0254,-0.0057
152,-0.0154,0.003,-0.0237,-0.0041
153,-0.0152,0.0029,-0.0245,-0.0041
154,-0.0154,0.0031,-0.0245,-0.0041
155,-0.0153,0.0031,-0.0254,-0.0041
156,-0.015,0.0031,-0.0245,-0.0041
157,-0.0149,0.0031,-0.0229,-0.0041
158,-0.0149,0.003,-0.0245,-0.0041
159,-0.0148,0.0031,-0.0237,-0.0041
160,-0.0148,0.0031,-0.0262,-0.0041
161,-0.0144,0.003,-0.0221,-0.0041
162,-0.0145,0.0031,-0.0245,-0.0041
163,-0.0142,0.003,-0.0237,-0.0041
164,-0.0141,0.0029,-0.0221,-0.0041
165,-0.0141,0.0029,-0.0229,-0.0041
166,-0.014,0.0029,-0.0229,-0.0041
167,-0.0139,0.0029,-0.0221,-0.0041
168,-0.0137,0.003,-0.0237,-0.0033
169,-0.0135,0.003,-0.0229,-0.0033
170,-0.0136,0.003,-0.0221,-0.0033
171,-0.0133,0.0027,-0.0229,-0.0033
172,-0.0134,0.0028,-0.0245,-0.0033
173,-0.0135,0.003,-0.0229,-0.0033
174,-0.0132,0.0029,-0.0221,-0.0033
175,-0.0134,0.0028,-0.0213,-0.0033
176,-0.0134,0.0029,-0.0237,-0.0033
177,-0.0133,0.0029,-0.0237,-0.0033
178,-0.0133,0.0028,-0.0213,-0.0033
179,-0.0132,0.0028,-0.0221,-0.0033
180,-0.0133,0.0028,-0.0213,-0.0033
181,-0.0133,0.003,-0.0229,-0.0033
182,-0.0134,0.0028,-0.0229,-0.0033
183,-0.0134,0.0027,-0.0213,-0.0033
184,-0.0135,0.0029,-0.0213,-0.0033
185,-0.0137,0.0029,-0.0229,-0.0033
186,-0.0136,0.0029,-0.0213,-0.0033
187,-0.0136,0.003,-0.0221,-0.0033
188,-0.0136,0.003,-0.0221,-0.0033
189,-0.0137,0.003,-0.0245,-0.0033
190,-0.0134,0.0029,-0.0229,-0.0033
191,-0.0132,0.0029,-0.0229,-0.0033
192,-0.013,0.0029,-0.0205,-0.0033
193,-0.0131,0.0029,-0.0221,-0.0033
194,-0.0129,0.0029,-0.0221,-0.0033
195,-0.013,0.0029,-0.0205,-0.0033
196,-0.0131,0.0029,-0.0213,-0.0033
197,-0.0129,0.0029,-0.0213,-0.0033
198,-0.0129,0.0031,-0.0221,-0.0033
199,-0.0129,0.003,-0.0229,-0.0033
200,-0.0128,0.003,-0.0221,-0.0033
201,-0.0128,0.0031,-0.0213,-0.0033
202,-0.0128,0.0029,-0.0237,-0.0033
203,-0.0129,0.0029,-0.0221,-0.0033
204,-0.013,0.003,-0.0245,-0.0033
205,-0.0129,0.003,-0.0221,-0.0033
206,-0.0126,0.003,-0.0221,-0.0033
207,-0.0126,0.0029,-0.0229,-0.0033
208,-0.0126,0.003,-0.0213,-0.0033
209,-0.0125,0.0029,-0.0205,-0.0033
210,-0.0124,0.0029,-0.0205,-0.0033
211,-0.0123,0.0031,-0.0237,-0.0033
212,-0.0122,0.0028,-0.0205,-0.0033
213,-0.0125,0.0029,-0.0213,-0.0033
214,-0.0122,0.0028,-0.0213,-0.0033
215,-0.0122,0.0028,-0.0221,-0.0033
216,-0.0124,0.0029,-0.0205,-0.0033
217,-0.0124,0.0028,-0.0213,-0.0033
218,-0.0123,0.0029,-0.0213,-0.0033
219,-0.0125,0.0029,-0.0213,-0.0033
220,-0.0121,0.0029,-0.0213,-0.0033
221,-0.0122,0.003,-0.0213,-0.0033
222,-0.0121,0.0029,-0.0196,-0.0033
223,-0.0121,0.0029,-0.0205,-0.0033
224,-0.0118,0.0028,-0.0205,-0.0033
225,-0.012,0.0028,-0.0213,-0.0033
226,-0.012,0.0027,-0.0196,-0.0033
227,-0.012,0.0029,-0.0196,-0.0033
228,-0.012,0.0029,-0.0213,-0.0033
229,-0.012,0.0029,-0.0213,-0.0033
230,-0.0121,0.0028,-0.0221,-0.0033
231,-0.0123,0.0029,-0.0221,-0.0033
232,-0.0122,0.0028,-0.0205,-0.0033
233,-0.0123,0.0029,-0.0213,-0.0033
234,-0.0122,0.003,-0.0229,-0.0033
235,-0.0122,0.0029,-0.0205,-0.0025
236,-0.0124,0.0028,-0.0205,-0.0025
237,-0.0124,0.0028,-0.0205,-0.0025
238,-0.0125,0.0029,-0.0221,-0.0025
239,-0.0125,0.003,-0.0229,-0.0025
240,-0.0122,0.0028,-0.0205,-0.0025
241,-0.0121,0.0029,-0.0205,-0.0025
242,-0.012,0.003,-0.0196,-0.0025
243,-0.0119,0.0029,-0.0245,-0.0025
244,-0.0117,0.0029,-0.0213,-0.0025
245,-0.0118,0.0028,-0.0221,-0.0025
246,-0.0117,0.0029,-0.0221,-0.0025
247,-0.0117,0.0028,-0.0205,-0.0025
248,-0.0118,0.0029,-0.0196,-0.0025
249,-0.0117,0.0028,-0.0188,-0.0025
250,-0.0116,0.0028,-0.0205,-0.0025
251,-0.0117,0.0029,-0.0229,-0.0025
252,-0.0117,0.0029,-0.0213,-0.0025
253,-0.0117,0.0029,-0.0196,-0.0025
254,-0.0116,0.0028,-0.0221,-0.0025
255,-0.0118,0.0028,-0.0205,-0.0025
256,-0.0117,0.0028,-0.0237,-0.0025
257,-0.0117,0.003,-0.0221,-0.0025
258,-0.0116,0.0031,-0.0213,-0.0025
259,-0.0115,0.003,-0.0221,-0.0025
260,-0.0115,0.0027,-0.0196,-0.0025
