,Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
Total execution time,199.6s (3.3min),196.3s (3.3min),194.9s (3.2min),197.1s (3.3min),198.0s (3.3min),197.2s (3.3min),143.4s (2.4min)
Average time per run,199.6s (3.3min),196.3s (3.3min),194.9s (3.2min),197.1s (3.3min),198.0s (3.3min),197.2s (3.3min),143.4s (2.4min)
Fastest run,199.6s (3.3min),196.3s (3.3min),194.9s (3.2min),197.1s (3.3min),198.0s (3.3min),197.2s (3.3min),143.4s (2.4min)
Slowest run,199.6s (3.3min),196.3s (3.3min),194.9s (3.2min),197.1s (3.3min),198.0s (3.3min),197.2s (3.3min),143.4s (2.4min)
Standard deviation,0.0s (0.0min),0.0s (0.0min),0.0s (0.0min),0.0s (0.0min),0.0s (0.0min),0.0s (0.0min),0.0s (0.0min)
Best fitness,-0.0033,-0.0025,0.0016,-0.0008,0.0041,0,-0.027
