Generation,Mean,Std,Min,Max
1,-0.0397,0.0034,-0.0483,-0.0286
2,-0.044,0.003,-0.0507,-0.0286
3,-0.046,0.0026,-0.0524,-0.0286
4,-0.0472,0.0024,-0.0524,-0.0286
5,-0.0481,0.0024,-0.054,-0.0286
6,-0.0486,0.0024,-0.054,-0.0286
7,-0.049,0.0024,-0.054,-0.0286
8,-0.0492,0.0024,-0.054,-0.0286
9,-0.0494,0.0024,-0.0556,-0.0286
10,-0.0493,0.0023,-0.0556,-0.0286
11,-0.0493,0.0024,-0.0548,-0.0286
12,-0.0491,0.0025,-0.054,-0.0286
13,-0.049,0.0025,-0.0548,-0.0286
14,-0.0487,0.0027,-0.0548,-0.0286
15,-0.0483,0.0026,-0.054,-0.0286
16,-0.0482,0.0025,-0.0548,-0.0286
17,-0.0478,0.0025,-0.0532,-0.0286
18,-0.0475,0.0025,-0.0532,-0.0286
19,-0.0472,0.0024,-0.0524,-0.0286
20,-0.0469,0.0023,-0.0532,-0.0286
21,-0.0467,0.0024,-0.0524,-0.0286
22,-0.0464,0.0024,-0.0516,-0.0286
23,-0.046,0.0024,-0.0516,-0.0286
24,-0.0457,0.0025,-0.0507,-0.0286
25,-0.0453,0.0024,-0.0507,-0.0286
26,-0.0447,0.0025,-0.0499,-0.0286
27,-0.0442,0.0025,-0.0499,-0.0286
28,-0.0438,0.0024,-0.0491,-0.0286
29,-0.0433,0.0024,-0.0499,-0.0286
30,-0.0428,0.0024,-0.0491,-0.0286
31,-0.0424,0.0023,-0.0483,-0.0286
32,-0.0419,0.0023,-0.0499,-0.0286
33,-0.0416,0.0024,-0.0475,-0.0286
34,-0.0411,0.0025,-0.0466,-0.0286
35,-0.0404,0.0025,-0.0466,-0.0286
36,-0.0398,0.0024,-0.045,-0.0286
37,-0.0392,0.0025,-0.045,-0.0286
38,-0.0387,0.0024,-0.0442,-0.0286
39,-0.0383,0.0024,-0.045,-0.0286
40,-0.0377,0.0024,-0.0458,-0.0286
41,-0.0373,0.0023,-0.0426,-0.0286
42,-0.0372,0.0023,-0.0442,-0.0286
43,-0.0367,0.0022,-0.0426,-0.0286
44,-0.0363,0.0022,-0.0426,-0.0286
45,-0.0361,0.0024,-0.0475,-0.0286
46,-0.0359,0.0023,-0.0409,-0.0278
47,-0.0355,0.0024,-0.0426,-0.027
48,-0.0351,0.0024,-0.0409,-0.0254
49,-0.0345,0.0024,-0.0409,-0.0254
50,-0.0342,0.0023,-0.0393,-0.0254
51,-0.0338,0.0023,-0.0393,-0.0254
52,-0.0335,0.0022,-0.0401,-0.0254
53,-0.0332,0.0023,-0.0385,-0.0245
54,-0.0329,0.0023,-0.0385,-0.0245
55,-0.0325,0.0023,-0.0385,-0.0229
56,-0.0321,0.0024,-0.0393,-0.0229
57,-0.0317,0.0024,-0.0368,-0.0229
58,-0.0313,0.0024,-0.0385,-0.0213
59,-0.0309,0.0023,-0.036,-0.0213
60,-0.0306,0.0022,-0.036,-0.0213
61,-0.0305,0.0023,-0.036,-0.0213
62,-0.0301,0.0023,-0.036,-0.0213
63,-0.0299,0.0023,-0.0352,-0.0213
64,-0.0296,0.0023,-0.0352,-0.0213
65,-0.0293,0.0022,-0.036,-0.0196
66,-0.029,0.0023,-0.0352,-0.0196
67,-0.0287,0.0023,-0.0352,-0.0188
68,-0.0286,0.0024,-0.0344,-0.0172
69,-0.0283,0.0025,-0.0344,-0.0172
70,-0.0279,0.0027,-0.0352,-0.0155
71,-0.0276,0.0027,-0.0344,-0.0155
72,-0.0272,0.0025,-0.0336,-0.0155
73,-0.027,0.0025,-0.0327,-0.0155
74,-0.0269,0.0026,-0.0336,-0.0155
75,-0.0266,0.0025,-0.0344,-0.0139
76,-0.0265,0.0026,-0.0319,-0.0139
77,-0.0264,0.0027,-0.0319,-0.0139
78,-0.0261,0.0026,-0.0327,-0.0139
79,-0.0259,0.0028,-0.0327,-0.0139
80,-0.0255,0.0028,-0.0319,-0.0139
81,-0.0252,0.0029,-0.0327,-0.0139
82,-0.0249,0.0028,-0.0319,-0.0139
83,-0.0246,0.0029,-0.0311,-0.0123
84,-0.0245,0.0029,-0.0311,-0.0123
85,-0.0243,0.0027,-0.0303,-0.0123
86,-0.0242,0.0029,-0.0327,-0.0123
87,-0.0242,0.0031,-0.0319,-0.0123
88,-0.0239,0.0029,-0.0303,-0.0123
89,-0.0236,0.0029,-0.0295,-0.0123
90,-0.0236,0.0029,-0.0303,-0.0123
91,-0.0237,0.0029,-0.0303,-0.0115
92,-0.0236,0.0031,-0.0311,-0.0115
93,-0.0233,0.0032,-0.0311,-0.0115
94,-0.0231,0.0031,-0.0295,-0.0115
95,-0.0228,0.0031,-0.0303,-0.0115
96,-0.0225,0.003,-0.0295,-0.0115
97,-0.0223,0.003,-0.0295,-0.0115
98,-0.0222,0.0034,-0.0295,-0.0115
99,-0.0218,0.0032,-0.0295,-0.0115
100,-0.0215,0.0032,-0.0303,-0.0098
101,-0.0212,0.0033,-0.0278,-0.0082
102,-0.0209,0.0034,-0.0303,-0.0082
103,-0.0204,0.0035,-0.0278,-0.0082
104,-0.0203,0.0034,-0.0311,-0.0082
105,-0.02,0.0033,-0.0278,-0.0082
106,-0.0196,0.0033,-0.0295,-0.0082
107,-0.0193,0.0034,-0.0303,-0.0065
108,-0.019,0.0032,-0.0262,-0.0065
109,-0.0186,0.0031,-0.0262,-0.0065
110,-0.0184,0.0031,-0.0254,-0.0065
111,-0.0181,0.0031,-0.027,-0.0065
112,-0.0179,0.0031,-0.0262,-0.0065
113,-0.0178,0.0031,-0.0262,-0.0065
114,-0.0179,0.0031,-0.0262,-0.0065
115,-0.0179,0.0031,-0.0262,-0.0065
116,-0.0176,0.0032,-0.0286,-0.0065
117,-0.0174,0.003,-0.027,-0.0065
118,-0.0174,0.0031,-0.0262,-0.0065
119,-0.0173,0.0032,-0.027,-0.0065
120,-0.0169,0.003,-0.0262,-0.0065
121,-0.0169,0.003,-0.0237,-0.0065
122,-0.0168,0.003,-0.0245,-0.0065
123,-0.0167,0.003,-0.0254,-0.0065
124,-0.0166,0.003,-0.0254,-0.0065
125,-0.0168,0.003,-0.0262,-0.0065
126,-0.0168,0.003,-0.0254,-0.0065
127,-0.0166,0.003,-0.0254,-0.0065
128,-0.0167,0.003,-0.0278,-0.0065
129,-0.0168,0.0029,-0.0254,-0.0065
130,-0.0166,0.003,-0.0245,-0.0065
131,-0.0165,0.003,-0.0237,-0.0065
132,-0.0163,0.0029,-0.0245,-0.0065
133,-0.0163,0.0029,-0.0245,-0.0065
134,-0.0165,0.0029,-0.027,-0.0065
135,-0.0165,0.0028,-0.0262,-0.0065
136,-0.0165,0.0028,-0.0254,-0.0065
137,-0.0167,0.0029,-0.0254,-0.0065
138,-0.0166,0.0031,-0.027,-0.0065
139,-0.0165,0.0029,-0.0254,-0.0065
140,-0.0165,0.0029,-0.027,-0.0065
141,-0.0164,0.0029,-0.0254,-0.0065
142,-0.0165,0.0029,-0.0262,-0.0065
143,-0.0165,0.003,-0.0254,-0.0065
144,-0.0163,0.0029,-0.0237,-0.0065
145,-0.0165,0.003,-0.0245,-0.0065
146,-0.0161,0.0029,-0.0254,-0.0065
147,-0.016,0.003,-0.0237,-0.0065
148,-0.0159,0.0027,-0.0237,-0.0065
149,-0.0158,0.0027,-0.0229,-0.0065
150,-0.0159,0.0029,-0.0245,-0.0065
151,-0.0159,0.003,-0.0262,-0.0065
152,-0.0158,0.0029,-0.0254,-0.0065
153,-0.0156,0.0029,-0.0262,-0.0065
154,-0.0157,0.0029,-0.0254,-0.0065
155,-0.0156,0.0028,-0.0237,-0.0065
156,-0.0158,0.0027,-0.0254,-0.0065
157,-0.0157,0.0027,-0.0254,-0.0065
158,-0.016,0.003,-0.0245,-0.0065
159,-0.0157,0.0028,-0.0245,-0.0065
160,-0.0158,0.0029,-0.0245,-0.0065
161,-0.0157,0.0031,-0.0262,-0.0065
162,-0.0156,0.003,-0.0245,-0.0065
163,-0.0156,0.0028,-0.0245,-0.0065
164,-0.0154,0.0028,-0.0237,-0.0065
165,-0.0153,0.0027,-0.0245,-0.0057
166,-0.0152,0.0028,-0.0237,-0.0057
167,-0.0151,0.0029,-0.0245,-0.0057
168,-0.0151,0.0028,-0.0237,-0.0057
169,-0.0153,0.0027,-0.0254,-0.0057
170,-0.0153,0.0028,-0.0245,-0.0057
171,-0.0153,0.0028,-0.0237,-0.0057
172,-0.0151,0.0028,-0.0229,-0.0057
173,-0.015,0.0028,-0.0237,-0.0057
174,-0.015,0.0028,-0.0237,-0.0057
175,-0.015,0.0027,-0.0245,-0.0057
176,-0.0151,0.0028,-0.0254,-0.0057
177,-0.015,0.0028,-0.0229,-0.0057
178,-0.0151,0.0029,-0.0229,-0.0057
179,-0.0149,0.0028,-0.0237,-0.0057
180,-0.0149,0.0028,-0.0237,-0.0057
181,-0.015,0.0028,-0.0237,-0.0057
182,-0.015,0.0028,-0.0237,-0.0057
183,-0.015,0.0029,-0.0254,-0.0057
184,-0.0151,0.0028,-0.0229,-0.0057
185,-0.0148,0.0028,-0.0237,-0.0057
186,-0.0149,0.0029,-0.0245,-0.0057
187,-0.0149,0.0029,-0.0254,-0.0057
188,-0.0148,0.0028,-0.0213,-0.0057
189,-0.0146,0.003,-0.0245,-0.0057
190,-0.0147,0.0029,-0.0229,-0.0057
191,-0.0146,0.0028,-0.0229,-0.0057
192,-0.0144,0.0029,-0.0221,-0.0057
193,-0.0146,0.0029,-0.0237,-0.0057
194,-0.0144,0.0029,-0.0222,-0.0049
195,-0.0145,0.0028,-0.0229,-0.0049
196,-0.0143,0.0028,-0.0245,-0.0049
197,-0.0143,0.003,-0.0229,-0.0049
198,-0.0143,0.0028,-0.0262,-0.0049
199,-0.0144,0.0027,-0.0237,-0.0049
200,-0.0146,0.0029,-0.0229,-0.0049
201,-0.0145,0.0031,-0.0245,-0.0049
202,-0.0144,0.003,-0.0254,-0.0049
203,-0.0143,0.0028,-0.0245,-0.0049
204,-0.0143,0.0029,-0.0245,-0.0049
205,-0.0146,0.0028,-0.0221,-0.0049
206,-0.0144,0.0028,-0.0245,-0.0049
207,-0.0144,0.0027,-0.027,-0.0049
208,-0.0143,0.003,-0.0245,-0.0049
209,-0.0145,0.0029,-0.0229,-0.0049
210,-0.0143,0.0029,-0.0237,-0.0049
211,-0.0144,0.0029,-0.0245,-0.0049
212,-0.0145,0.003,-0.027,-0.0049
213,-0.0143,0.0029,-0.0262,-0.0049
214,-0.0144,0.0029,-0.0229,-0.0049
215,-0.0144,0.0028,-0.0237,-0.0049
216,-0.0143,0.0028,-0.0262,-0.0049
217,-0.0143,0.0029,-0.0245,-0.0049
218,-0.0144,0.0027,-0.0221,-0.0049
219,-0.0144,0.0029,-0.0245,-0.0049
220,-0.0145,0.003,-0.0229,-0.0049
221,-0.0145,0.0029,-0.0245,-0.0049
222,-0.0145,0.003,-0.027,-0.0049
223,-0.0144,0.0029,-0.0254,-0.0049
224,-0.0145,0.003,-0.0245,-0.0049
225,-0.0144,0.0031,-0.0237,-0.0049
226,-0.0145,0.0031,-0.0262,-0.0049
227,-0.0144,0.0029,-0.0245,-0.0049
228,-0.0145,0.0028,-0.0229,-0.0049
229,-0.0144,0.0029,-0.0237,-0.0049
230,-0.0144,0.003,-0.0245,-0.0049
231,-0.0144,0.0029,-0.0229,-0.0049
232,-0.0143,0.003,-0.0229,-0.0049
233,-0.0144,0.0029,-0.0237,-0.0049
234,-0.0145,0.0029,-0.0229,-0.0049
235,-0.0147,0.0031,-0.0245,-0.0041
236,-0.0147,0.003,-0.0245,-0.0041
237,-0.0148,0.003,-0.0237,-0.0041
238,-0.0146,0.003,-0.0245,-0.0041
239,-0.0146,0.0031,-0.027,-0.0041
240,-0.0144,0.0029,-0.0254,-0.0041
241,-0.0143,0.0029,-0.0245,-0.0041
242,-0.0144,0.0028,-0.0254,-0.0041
243,-0.0145,0.0031,-0.0254,-0.0033
244,-0.0146,0.003,-0.0245,-0.0033
245,-0.0147,0.0028,-0.0229,-0.0033
246,-0.0145,0.003,-0.0229,-0.0033
247,-0.0146,0.003,-0.0245,-0.0033
248,-0.0144,0.0029,-0.0245,-0.0033
249,-0.0146,0.0032,-0.0245,-0.0033
250,-0.0144,0.0032,-0.0254,-0.0033
251,-0.0143,0.003,-0.0262,-0.0033
252,-0.0142,0.0029,-0.0237,-0.0033
253,-0.0142,0.0029,-0.0237,-0.0033
254,-0.0141,0.0031,-0.0229,-0.0033
255,-0.0141,0.0029,-0.0237,-0.0033
256,-0.0142,0.003,-0.027,-0.0033
257,-0.0142,0.003,-0.0245,-0.0033
258,-0.0141,0.0028,-0.0229,-0.0033
259,-0.0141,0.0028,-0.0221,-0.0033
260,-0.0142,0.0029,-0.0221,-0.0033
261,-0.014,0.0028,-0.0221,-0.0033
262,-0.0141,0.003,-0.0237,-0.0033
263,-0.0139,0.0029,-0.0229,-0.0033
264,-0.014,0.0029,-0.0237,-0.0033
265,-0.014,0.0031,-0.0237,-0.0033
266,-0.0138,0.003,-0.0237,-0.0033
267,-0.0138,0.0028,-0.0229,-0.0033
268,-0.0137,0.0029,-0.0237,-0.0033
269,-0.0138,0.0029,-0.0229,-0.0033
270,-0.0136,0.0029,-0.0229,-0.0033
271,-0.0135,0.0028,-0.0221,-0.0033
272,-0.0138,0.0029,-0.0237,-0.0033
273,-0.0138,0.0028,-0.0254,-0.0033
274,-0.0137,0.0028,-0.0254,-0.0033
275,-0.0138,0.0028,-0.0237,-0.0033
276,-0.0138,0.0028,-0.0237,-0.0033
277,-0.0139,0.003,-0.0245,-0.0033
278,-0.014,0.003,-0.0229,-0.0033
279,-0.0138,0.0029,-0.0221,-0.0033
280,-0.0137,0.0031,-0.0254,-0.0033
281,-0.0139,0.0031,-0.0229,-0.0033
282,-0.0137,0.0029,-0.0237,-0.0033
283,-0.0139,0.003,-0.0237,-0.0033
284,-0.0139,0.0032,-0.0245,-0.0033
285,-0.0136,0.0029,-0.0221,-0.0033
286,-0.0137,0.003,-0.0237,-0.0033
287,-0.0138,0.0031,-0.0245,-0.0033
288,-0.014,0.0031,-0.0245,-0.0033
289,-0.0137,0.0031,-0.0245,-0.0033
290,-0.0137,0.003,-0.0229,-0.0033
291,-0.0137,0.0031,-0.0229,-0.0033
292,-0.0136,0.0029,-0.0262,-0.0033
293,-0.0136,0.003,-0.0221,-0.0033
294,-0.0135,0.0032,-0.0245,-0.0033
295,-0.0135,0.0029,-0.0229,-0.0033
296,-0.0135,0.003,-0.0245,-0.0033
297,-0.0135,0.0028,-0.0229,-0.0033
298,-0.0135,0.0029,-0.0254,-0.0033
299,-0.0135,0.0028,-0.0221,-0.0033
300,-0.0136,0.0029,-0.0237,-0.0033
301,-0.0137,0.0029,-0.0245,-0.0033
302,-0.0138,0.003,-0.0237,-0.0033
303,-0.0138,0.003,-0.0254,-0.0033
304,-0.0139,0.0031,-0.0237,-0.0033
305,-0.0138,0.003,-0.0245,-0.0033
306,-0.0135,0.0028,-0.0237,-0.0033
307,-0.0134,0.0028,-0.0237,-0.0033
308,-0.0133,0.0029,-0.0245,-0.0033
309,-0.0136,0.003,-0.0229,-0.0033
310,-0.0137,0.003,-0.0229,-0.0033
311,-0.0138,0.0031,-0.0221,-0.0033
312,-0.0136,0.003,-0.0221,-0.0033
313,-0.0134,0.0029,-0.0229,-0.0033
314,-0.0135,0.0029,-0.0221,-0.0033
315,-0.0134,0.0029,-0.0221,-0.0033
316,-0.0133,0.0029,-0.0221,-0.0033
317,-0.0135,0.0029,-0.0229,-0.0033
318,-0.0135,0.0029,-0.0254,-0.0033
319,-0.0136,0.003,-0.0237,-0.0033
320,-0.0136,0.003,-0.0213,-0.0033
321,-0.0133,0.0031,-0.0221,-0.0033
322,-0.0131,0.003,-0.0229,-0.0033
323,-0.0132,0.0029,-0.0221,-0.0033
324,-0.0131,0.0029,-0.0213,-0.0033
325,-0.0132,0.0027,-0.0213,-0.0033
326,-0.0134,0.0028,-0.0254,-0.0033
327,-0.0133,0.0028,-0.0229,-0.0033
328,-0.0132,0.0029,-0.0222,-0.0033
329,-0.0134,0.0029,-0.0221,-0.0033
330,-0.0133,0.0027,-0.0213,-0.0033
331,-0.0133,0.0029,-0.0237,-0.0033
332,-0.0132,0.0028,-0.0229,-0.0033
333,-0.0134,0.0028,-0.0213,-0.0033
334,-0.0134,0.0029,-0.0254,-0.0033
335,-0.0134,0.003,-0.0229,-0.0033
336,-0.0135,0.003,-0.0245,-0.0033
337,-0.0134,0.0029,-0.0229,-0.0033
338,-0.0134,0.0029,-0.0221,-0.0033
339,-0.0132,0.0028,-0.0213,-0.0033
340,-0.0131,0.003,-0.0221,-0.0033
341,-0.0132,0.0028,-0.0229,-0.0033
342,-0.0133,0.0029,-0.0254,-0.0033
343,-0.0133,0.0029,-0.0229,-0.0033
344,-0.0133,0.0029,-0.0229,-0.0033
345,-0.0131,0.0028,-0.0221,-0.0033
346,-0.0133,0.003,-0.0229,-0.0033
347,-0.0133,0.0028,-0.0213,-0.0033
348,-0.0132,0.0028,-0.0213,-0.0033
349,-0.013,0.0029,-0.0213,-0.0033
350,-0.0129,0.003,-0.0229,-0.0033
351,-0.0129,0.0029,-0.0205,-0.0033
352,-0.0127,0.0029,-0.0245,-0.0033
353,-0.0126,0.0028,-0.0213,-0.0033
354,-0.0128,0.0027,-0.0213,-0.0033
355,-0.0129,0.0029,-0.0254,-0.0033
356,-0.013,0.0027,-0.0245,-0.0033
357,-0.0132,0.0028,-0.0221,-0.0033
358,-0.0132,0.003,-0.0245,-0.0033
359,-0.013,0.0029,-0.0213,-0.0033
360,-0.0129,0.0028,-0.0221,-0.0033
361,-0.0128,0.003,-0.0213,-0.0033
362,-0.0127,0.0029,-0.0221,-0.0033
363,-0.0127,0.0029,-0.0213,-0.0033
364,-0.0129,0.0028,-0.0213,-0.0033
365,-0.0128,0.0029,-0.0221,-0.0033
366,-0.0126,0.0029,-0.0229,-0.0033
367,-0.0129,0.0027,-0.0205,-0.0033
368,-0.013,0.0028,-0.0221,-0.0033
369,-0.0131,0.0032,-0.0254,-0.0025
370,-0.013,0.0031,-0.0254,-0.0025
371,-0.0128,0.0029,-0.0229,-0.0025
372,-0.0126,0.003,-0.0229,-0.0025
373,-0.0126,0.003,-0.0237,-0.0025
374,-0.0125,0.0028,-0.0205,-0.0025
375,-0.0125,0.0028,-0.0229,-0.0025
376,-0.0122,0.0027,-0.0205,-0.0025
377,-0.0123,0.003,-0.0213,-0.0025
378,-0.0123,0.0029,-0.0213,-0.0025
379,-0.0122,0.0028,-0.0221,-0.0025
380,-0.0125,0.0027,-0.0254,-0.0025
